date,soc_start_kwh,soc_end_kwh,initial_contract_kwh,final_contract_kwh,settlement_cost,emergency_kwh,emergency_cost,charge_kwh,discharge_kwh,curtailment_kwh,grid_spill_kwh,total_cost,mean_lp_objective,block_0_charge_kwh,block_0_discharge_kwh,block_1_charge_kwh,block_1_discharge_kwh,block_2_charge_kwh,block_2_discharge_kwh,block_3_charge_kwh,block_3_discharge_kwh,block_4_charge_kwh,block_4_discharge_kwh,block_5_charge_kwh,block_5_discharge_kwh
2025-02-01,9538.359145880057,9522.613408287827,42853.56518497401,39970.577577466924,18992.559808717215,0.0,0.0,20593.212148185226,16815.66756234846,352.91792535781155,1285.3054496056725,18992.559808717215,4688.113434155767,1420.5004392896778,15.128587116687697,0.0,7544.49001971154,4936.263866666666,677.7272833333333,5223.880772940261,94.24061811665865,36.994091832607296,5354.090536533951,9124.948975586161,3129.9905175362865
2025-02-02,9522.613408287827,9543.650299770577,88293.16165330379,88196.71212485246,75026.50879761683,328.0037853488608,1714.5050733225203,20601.166308383272,16648.128413722236,3177.416065014182,3083.435400526085,76741.01387093935,17379.822365726417,1568.318006092673,120.68965239410943,59.400121318090555,1615.6295996868687,2324.2253681890766,6321.0261716746345,7199.506620882308,1531.76519658278,149.2827564694561,6680.512073320746,9275.88640613075,378.5057200630914
2025-02-03,9543.650299770577,9566.681647313642,90130.39048152922,89701.19330304436,75929.447582292,86.99816199777312,406.5925057400119,18643.354501075726,15002.903326830223,3565.973523986087,2361.960383477216,76336.04008803202,17821.46712751184,1522.6520228025884,102.63340826361434,29.62445273001687,1812.1791854917433,3304.4528416344383,6498.174040851982,4320.469120905101,3.042614790025482,74.18187925712084,5955.786857983378,9296.312941459606,631.0872194494804
2025-02-04,9566.681647313642,9609.766254371118,94008.04380312271,91056.80917974348,80048.45097143129,0.0,0.0,19640.943562102333,15837.64550905383,1941.6412956815502,4081.5331810134226,80048.45097143129,18372.06297010453,1375.2477303913238,3.9641441992501996,0.0,1385.6575139117924,4195.1915717323545,6520.000585259151,4786.233393072661,2209.792099587378,54.309442279177006,4925.761458744692,9189.538424753568,792.4697073515631
2025-02-05,9609.766254371118,9785.659687779236,87720.14805572706,87687.95446531754,74938.16587978503,135.7329919499336,623.421632026045,21880.997350405654,17578.751024683806,1928.8249608073293,852.7776040716108,75561.58751181107,16512.7633245349,1371.9276356316102,42.934747091012014,48.67712116434396,1589.1415592994724,4771.450487599495,6387.238416783881,5389.888619919327,1768.8206161654543,776.0331674750936,6947.978121116912,9539.621875310262,842.6375642270721
2025-02-06,9785.659687779236,9877.600093926187,93547.76327505094,88273.70531047144,75808.49897885945,21.05289999999991,152.31773149999935,19329.968139045086,15561.080566171759,1147.9264539645724,3303.622666966872,75960.81671035945,17902.52949751805,1128.4714312073813,10.532460299411582,22.69841525442913,1395.4892512127835,4877.556958546809,6431.292567662393,3958.046341286089,1970.4568865799156,0.0,4962.1184917657065,9326.593436055913,791.1909086515403
2025-02-07,9877.600093926187,9402.011060804618,43537.59242928906,40404.475794106904,19183.823945150853,205.06905957798085,736.9799270119995,18187.60276105874,15159.988366266994,4606.1788747354785,1166.0311174909957,19920.80387216285,4775.399268507119,1090.9726751166868,53.52795137808579,10.157816258522669,5291.524231169402,4765.899283333333,1115.3134500000003,3133.619049999995,62.61127582617155,73.60831323396349,5746.504221948925,9113.345623116242,2890.5072359444116
2025-02-08,9402.011060804618,9359.164409845023,35537.0536139168,36581.9163445625,17033.805611212192,300.9090746351726,1312.0992454791378,20740.008020876405,16998.368832743483,1037.6158612499262,347.8455198148238,18345.90485669133,4089.565900502854,1205.628244468303,233.65847928341793,0.0,7939.865087355322,6006.262766666667,184.84526610474035,4660.403899999998,31.388708445712496,0.0,6263.19462400906,9065.738233161135,2345.41666754523
2025-02-09,9359.164409845023,9176.35805233114,84293.30199892624,85461.06132952988,69085.93792588284,33.58048073444647,163.51630686605876,20080.360715446834,16269.217551304479,2106.520881452006,27.15019800330913,69249.4542327489,15149.831201005016,1751.507708262419,173.57389252746714,115.22646652546553,1626.422721816276,4753.5001269405075,5822.582343028274,4391.285437174695,0.0,2.657718143359994,8171.343526072404,8868.158134980698,475.2950678600617
2025-02-10,9176.35805233114,9038.449791119108,81758.4771427674,78304.46095028946,61580.012355456085,278.5955447121586,1218.6651106083004,19562.350218536663,16044.339886124575,358.44060075196944,374.3713785042262,62798.677466064386,14499.239087763746,1924.4464302636682,97.52385561159599,42.12262761389354,2370.3007458918696,4677.9910715413,4907.939501956642,4294.887827421154,23.91098867833466,4.292243170988968,8085.492742477975,8710.855418549165,559.1720515081521
