date,method,mae,rmse,spearman,high_price_precision,high_price_recall
2025-02-01,fixed,0.11695833333333333,0.13227879176194496,0.9352910561302994,0.896551724137931,0.896551724137931
2025-02-02,fixed,0.08882986111111112,0.11274820366886364,0.9625951498860705,0.896551724137931,0.896551724137931
2025-02-03,fixed,0.09610138888888889,0.11955708538880776,0.9615271388088187,0.9310344827586207,0.9310344827586207
2025-02-04,fixed,0.09749375,0.12238508697504322,0.9615572040299343,0.9310344827586207,0.9310344827586207
2025-02-05,fixed,0.10258472222222223,0.12677240159260042,0.9643916079259942,0.896551724137931,0.896551724137931
2025-02-06,fixed,0.09985625000000001,0.12529799119388238,0.9563265556521088,0.9310344827586207,0.9310344827586207
2025-02-07,fixed,0.12240833333333333,0.13806586139713659,0.943591186318873,0.9310344827586207,0.9310344827586207
2025-02-08,fixed,0.12515694444444445,0.13985183429456888,0.9296030930386551,0.9310344827586207,0.9310344827586207
2025-02-09,fixed,0.09340347222222223,0.11796660985917441,0.9689080282734998,0.896551724137931,0.896551724137931
2025-02-10,fixed,0.07282361111111112,0.08771632623912662,0.9683634540712323,0.9655172413793104,0.9655172413793104
2025-02-11,fixed,0.08050763888888889,0.09876458858484317,0.9692516216848555,0.9310344827586207,0.9310344827586207
2025-02-12,fixed,0.08055625000000001,0.09785907348779106,0.9623027675021538,0.9310344827586207,0.9310344827586207
2025-02-13,fixed,0.06608402777777779,0.08383780347591811,0.9528751939341539,0.9310344827586207,0.9310344827586207
2025-02-14,fixed,0.13619861111111112,0.15555088440407172,0.9383795352090817,0.9310344827586207,0.9310344827586207
2025-02-15,fixed,0.12868055555555555,0.14550741819577448,0.9415372960225478,0.9310344827586207,0.9310344827586207
2025-02-16,fixed,0.08139722222222223,0.10290674918477301,0.9545199247360651,0.9310344827586207,0.9310344827586207
2025-02-17,fixed,0.0673263888888889,0.08280806455627107,0.9670050328139156,0.9310344827586207,0.9310344827586207
2025-02-18,fixed,0.06849375000000002,0.08618007108826135,0.9621489265759812,0.9310344827586207,0.9310344827586207
2025-02-19,fixed,0.06949236111111112,0.08917694450111843,0.9614838571726452,0.896551724137931,0.896551724137931
2025-02-20,fixed,0.07365277777777779,0.09068790345648826,0.9559004532554507,0.896551724137931,0.896551724137931
2025-02-21,fixed,0.1457736111111111,0.16559854987958747,0.889651382105111,0.9310344827586207,0.9310344827586207
2025-02-22,fixed,0.13091319444444446,0.1471012866757686,0.9165916453156293,0.7931034482758621,0.7931034482758621
2025-02-23,fixed,0.07026041666666666,0.0878170118453392,0.9634442007607125,0.896551724137931,0.896551724137931
2025-02-24,fixed,0.05771041666666668,0.07402338266085627,0.9569514232927704,0.9310344827586207,0.9310344827586207
2025-02-25,fixed,0.049904861111111115,0.06351372172390958,0.9618324675793818,0.896551724137931,0.896551724137931
2025-02-26,fixed,0.06048541666666667,0.07556153627268897,0.9675174550337614,0.896551724137931,0.896551724137931
2025-02-27,fixed,0.056446527777777776,0.07237882066292291,0.9631407664266077,0.9310344827586207,0.9310344827586207
2025-02-28,fixed,0.14951875,0.1666844196794916,0.9184936379367765,0.896551724137931,0.896551724137931
2025-03-01,fixed,0.151975,0.16582378196949515,0.9211360524033848,0.9310344827586207,0.9310344827586207
2025-03-02,fixed,0.07229861111111112,0.09027539116503457,0.9657610841792129,0.9310344827586207,0.9310344827586207
2025-03-03,fixed,0.06774722222222224,0.08386203865741505,0.9713043268750318,0.9310344827586207,0.9310344827586207
2025-03-04,fixed,0.05707222222222224,0.0718386009282846,0.9682689438476164,0.9310344827586207,0.9310344827586207
2025-03-05,fixed,0.050589583333333334,0.06021087422550847,0.9657118858135921,0.9655172413793104,0.9655172413793104
2025-03-06,fixed,0.04984444444444445,0.061655844771152435,0.963652074319276,0.9310344827586207,0.9310344827586207
