date,slot,endpoint_minute,actual_price,price_forecast,load_kw,pv_kw,load_forecast_kw,pv_forecast_kw,initial_contract_kwh,final_contract_kwh,active_contract_kwh,charge_kwh,discharge_kwh,emergency_kwh,curtailment_kwh,grid_spill_kwh,soc_start_kwh,soc_end_kwh,active_issue
2025-02-01,0,20,0.3257,0.35432786642334124,2492.4439,0.0,2671.164279227538,0.0,537.4784120557027,537.4784120557027,537.4784120557027,122.07109538903603,0.0,0.0,0.0,0.0,10278.229369882249,10388.09335573238,0
2025-02-01,1,30,0.3041,0.3178249759854175,2464.3,0.0,2652.041666928004,0.0,533.639278472135,533.639278472135,533.639278472135,122.92261180546825,0.0,0.0,0.0,0.0,10388.09335573238,10498.723706357301,0
2025-02-01,2,40,0.3126,0.3159716093655793,2581.7688,0.0,2849.230179835252,0.0,573.2276480075277,573.2276480075277,573.2276480075277,142.93284800752775,0.0,0.0,0.0,0.0,10498.723706357301,10627.363269564075,0
2025-02-01,3,50,0.3286,0.34206558584735647,2546.4635,0.0,2891.702563972446,0.0,581.754576952234,581.754576952234,581.754576952234,157.34399361890064,0.0,0.0,0.0,0.0,10627.363269564075,10768.972863821085,0
2025-02-01,4,60,0.3438,0.3658649196776731,2436.31,0.0,2797.88942148386,0.0,562.9202681106154,562.9202681106154,562.9202681106154,34.474595754349544,0.0,0.0,0.0,122.39400568959923,10768.972863821085,10800.0,0
2025-02-01,5,70,0.3704,0.3667336112819658,2620.5011,0.0,2928.621202755592,0.0,589.1665133441795,589.1665133441795,589.1665133441795,0.0,0.0,0.0,0.0,152.4163300108462,10800.0,10800.0,0
2025-02-01,6,80,0.3746,0.35802030645142124,2710.7861,0.0,2909.192285144668,0.0,484.87181810103516,484.87181810103516,484.87181810103516,0.0,0.0,0.0,0.0,33.07413476770188,10800.0,10800.0,0
2025-02-01,7,90,0.3606,0.3613914567642277,2676.48,0.0,2776.4410933787144,0.0,462.7918640497562,462.7918640497562,462.7918640497562,0.0,0.0,0.0,0.0,16.71186404975623,10800.0,10800.0,0
2025-02-01,8,100,0.3582,0.38200803221990265,2830.598,0.0,2952.4269358470883,0.0,492.0628578817972,492.0628578817972,492.0628578817972,0.0,0.0,0.0,0.0,20.29652454846388,10800.0,10800.0,0
2025-02-01,9,110,0.3041,0.3643480347244281,2688.1558,0.0,3019.952071908034,0.0,503.29403314808525,503.29403314808525,503.29403314808525,0.0,0.0,0.0,0.0,55.2680664814186,10800.0,10800.0,0
2025-02-01,10,120,0.2537,0.3224994751363466,2384.42,0.0,2913.9609909599876,0.0,485.66497712194973,485.66497712194973,485.66497712194973,0.0,0.0,0.0,0.0,88.26164378861637,10800.0,10800.0,0
2025-02-01,11,130,0.3346,0.3309999574341447,2604.5438,0.0,2996.504646954969,0.0,499.39412039628667,499.39412039628667,499.39412039628667,0.0,0.0,0.0,0.0,65.30348706295337,10800.0,10800.0,0
2025-02-01,12,140,0.3971,0.3675169180424193,2943.3655,0.0,3073.6767536053776,0.0,512.2692594609291,512.2692594609291,512.2692594609291,0.0,0.0,0.0,0.0,21.708342794262478,10800.0,10800.0,0
2025-02-01,13,150,0.367,0.3893957856222202,3019.32,0.0,3030.937696676083,0.0,505.16010262568744,505.16010262568744,505.16010262568744,0.0,0.0,0.0,0.0,1.940102625687416,10800.0,10800.0,0
2025-02-01,14,160,0.3185,0.37738413642359225,2844.4369,0.0,2974.8080654811474,0.0,495.82357580598705,495.82357580598705,495.82357580598705,0.0,0.0,0.0,0.0,21.750759139320337,10800.0,10800.0,0
2025-02-01,15,170,0.3285,0.3841016610664275,2768.3064,0.0,2993.363785923823,0.0,498.9101092088207,498.9101092088207,498.9101092088207,0.0,0.0,0.0,0.0,37.52570920882073,10800.0,10800.0,0
2025-02-01,16,180,0.3772,0.4121374810146148,2861.65,0.0,3070.4637811924013,0.0,511.73481798205074,511.73481798205074,511.73481798205074,0.0,0.0,0.0,0.0,34.79315131538408,10800.0,10800.0,0
2025-02-01,17,190,0.3815,0.41362778861834354,2900.3973,0.0,3112.24680462216,0.0,518.6849495000237,518.6849495000237,518.6849495000237,0.0,0.0,0.0,0.0,35.28539950002363,10800.0,10800.0,0
2025-02-01,18,200,0.3822,0.4091728588268203,2919.6115,0.0,3103.007692808651,0.0,517.1616440375188,517.1616440375188,517.1616440375188,0.0,0.0,0.0,0.0,30.55972737085216,10800.0,10800.0,0
2025-02-01,19,210,0.3962,0.4118901247607964,2993.09,0.0,3058.7606437177183,0.0,509.80145747233104,509.80145747233104,509.80145747233104,0.0,0.0,0.0,0.0,10.95312413899768,10800.0,10800.0,0
2025-02-01,20,220,0.3879,0.4114173391089325,3109.8584,0.0,3018.9614844799535,0.0,503.1811462166457,503.1811462166457,503.1811462166457,0.0,15.128587116687697,0.0,0.0,0.0,10800.0,10783.190458759236,0
2025-02-01,21,230,0.3405,0.40376118960079876,3054.8008,0.0,3065.7972776264505,0.0,510.971952215444,510.971952215444,510.971952215444,1.838485548777328,0.0,0.0,0.0,0.0,10783.190458759236,10784.845095753135,0
2025-02-01,22,240,0.3164,0.3956740227345458,2901.7,0.0,3142.235926027377,0.0,523.6869857505707,523.6869857505707,523.6869857505707,16.838782496516714,0.0,0.0,0.0,23.23153658738734,10784.845095753135,10800.0,0
2025-02-01,23,250,0.3916,0.39751280308776793,2947.1208,0.0,3112.4106285080625,0.0,518.725756502192,518.725756502192,518.725756502192,0.0,0.0,0.0,0.0,27.53895650219198,10800.0,10800.0,0
2025-02-01,24,260,0.4109,0.3985878329330105,3027.8717,0.0,3116.7778071058196,0.0,519.4964773336371,519.4964773336371,519.4964773336371,0.0,0.0,0.0,0.0,14.851194000303792,10800.0,10800.0,0
2025-02-01,25,270,0.361,0.38949174764584105,3033.47,0.0,3196.801364537492,0.0,532.8089698506724,532.8089698506724,532.8089698506724,0.0,0.0,0.0,0.0,27.230636517339065,10800.0,10800.0,0
2025-02-01,26,280,0.3799,0.3771634738534694,3019.3858,0.0,3253.0325181452736,0.0,542.1634254091748,542.1634254091748,542.1634254091748,0.0,0.0,0.0,0.0,38.93245874250812,10800.0,10800.0,0
2025-02-01,27,290,0.4094,0.40364947448033206,3017.0819,0.0014,3297.771844788642,0.0,549.6061331601464,549.6061331601464,549.6061331601464,0.0,0.0,0.0,0.00023333333333333333,46.759149826813065,10800.0,10800.0,0
2025-02-01,28,300,0.4052,0.43826774194204454,2997.85,0.0,3294.060379916359,0.0,548.9887043688598,548.9887043688598,548.9887043688598,0.0,0.0,0.0,0.0,49.34703770219312,10800.0,10800.0,0
2025-02-01,29,310,0.3896,0.41112023139056725,2932.7015,0.0,3191.847525118964,0.0,531.9848631462678,531.9848631462678,531.9848631462678,0.0,0.0,0.0,0.0,43.201279812934445,10800.0,10800.0,0
2025-02-01,30,320,0.3908,0.41583806669711104,2991.1125,0.0199,3194.9613760557713,0.0,126.8996490113613,126.8996490113613,126.8996490113613,0.0,371.61578432197206,0.0,0.0,0.0,10800.0,10387.093572975587,0
2025-02-01,31,330,0.3821,0.43799385272687097,3175.34,0.0,3344.008948120523,0.0,132.80852523913964,132.80852523913964,132.80852523913964,0.0,396.41480809419375,0.0,0.0,0.0,10387.093572975587,9946.63267509315,0
2025-02-01,32,340,0.3475,0.4017931741389427,3284.4619,0.0,3455.680943925363,0.0,137.2356755253121,137.2356755253121,137.2356755253121,0.0,410.1746411413545,0.0,0.0,0.0,9946.63267509315,9490.883073824978,0
2025-02-01,33,350,0.5182,0.5660520275084953,3187.3644,0.2774,3373.877755827272,0.0,133.99265112167205,133.99265112167205,133.99265112167205,0.0,397.18851554499463,0.0,0.0,0.0,9490.883073824978,9049.562500997206,0
2025-02-01,34,360,0.8102,0.8532984738558074,3065.9,0.0,3239.208598067859,0.0,128.6537960576404,128.6537960576404,128.6537960576404,0.0,382.3295372756929,0.0,0.0,0.0,9049.562500997206,8624.751904024215,0
2025-02-01,35,370,0.8756,0.866661176229747,3211.1231,0.0,3164.8724456965733,57.82443333333333,130.01673049565005,0.0,0.0,0.0,535.1871833333333,0.0,0.0,0.0,8624.751904024215,8030.099478098289,6
2025-02-01,36,380,0.818,0.8187979707913742,3203.9961,3.8641,3197.8937288159555,115.64886666666666,0.0,0.0,0.0,0.0,533.3553333333333,0.0,0.0,0.0,8030.099478098289,7437.482441061252,6
2025-02-01,37,390,0.7708,0.8028566291914592,3027.12,0.0,3115.319269682087,173.4733,0.0,0.0,0.0,0.0,504.52,0.0,0.0,0.0,7437.482441061252,6876.904663283474,6
2025-02-01,38,400,0.7715,0.7938925448380377,3117.3221,0.0,3199.87653959683,231.29773333333333,0.0,0.0,0.0,0.0,519.5536833333333,0.0,0.0,0.0,6876.904663283474,6299.622792913104,6
