problem,method,label,formal,settlement_cost,emergency_cost,total_cost,emergency_kwh
4-2,causal_adaptive_stochastic_cvar,4-2 因果随机CVaR,True,14341364.078580119,1714211.0844907104,16055575.16307083,275948.1830837674
4-3,causal_deterministic_mpc,4-3 因果确定性MPC,True,15173968.946348753,546946.4197443074,15720915.36609306,108084.52094029842
4-3,causal_stochastic_cvar,4-3 随机CVaR风险对照,False,15988691.371830866,137087.26872252696,16125778.640553396,27671.246299168917
4-2,fixed_price,4-2 固定附件1,False,14113930.44444856,2240749.3984877104,16354679.84293627,364092.74396860064
4-2,oracle_price,4-2 Oracle价格,False,14316859.357893564,1728809.9032986474,16045669.26119221,278843.7094398042
4-3,oracle_deterministic,4-3 Oracle确定性,False,14436980.262387477,38338.9816134731,14475319.244000949,9153.297630797522
