日期,时段,电价,实际负载电量,实际光伏电量,预测负载电量,预测光伏电量,安全裕度电量,计划购电量,实际充电量,实际放电量,紧急购电量,弃光量,时段末储电量
2025-02-01,0:00,0.4276,580.8233333333333,0.0,570.6911762205982,0.0,21.774083383670302,592.4652596042686,0.0,0.0,0.0,11.6419262709353,10800.0
2025-02-01,0:10,0.4248,422.0303666666667,0.0,446.4343603524211,0.0,22.021738625983005,468.4560989784041,0.0,0.0,0.0,46.42573231173742,10800.0
2025-02-01,0:20,0.4245,415.4073166666667,0.0,450.7380241324796,0.0,24.462863051468602,475.2008871839482,0.0,0.0,0.0,59.79357051728152,10800.0
2025-02-01,0:30,0.4269,410.7166666666667,0.0,457.9370927694699,0.0,25.778333333333343,483.71542610280324,0.0,0.0,0.0,72.99875943613654,10800.0
2025-02-01,0:40,0.4272,430.29479999999995,0.0,464.71361060956866,0.0,27.951550000000072,492.6651606095687,0.0,0.0,0.0,62.37036060956876,10800.0
2025-02-01,0:50,0.4271,424.4105833333333,0.0,472.2863165537934,0.0,28.052116666666656,500.3384332204601,0.0,0.0,0.0,75.9278498871268,10800.0
2025-02-01,1:00,0.4285,406.0516666666666,0.0,478.8762642639505,0.0,28.08749374740758,506.9637580113581,0.0,0.0,0.0,100.91209134469148,10800.0
2025-02-01,1:10,0.4311,436.7501833333333,0.0,478.8564206404604,0.0,28.397585044525535,507.25400568498594,0.0,0.0,0.0,70.50382235165262,10800.0
2025-02-01,1:20,0.4302,451.7976833333333,0.0,468.6351638001222,0.0,28.397585044525535,497.0327488446477,0.0,0.0,0.0,45.23506551131442,10800.0
2025-02-01,1:30,0.4279,446.08,0.0,463.3690982241308,0.0,31.303559903431807,494.6726581275626,0.0,0.0,0.0,48.59265812756263,10800.0
2025-02-01,1:40,0.4312,471.7663333333333,0.0,483.50959694608923,0.0,28.397585044525535,511.90718199061473,0.0,0.0,0.0,40.140848657281424,10800.0
2025-02-01,1:50,0.4333,448.02596666666665,0.0,499.18180358370546,0.0,27.061950000000024,526.2437535837055,0.0,0.0,0.0,78.21778691703884,10800.0
2025-02-01,2:00,0.4311,397.4033333333333,0.0,496.602091459769,0.0,25.438404311458193,522.0404957712271,0.0,0.0,0.0,124.63716243789383,10800.0
2025-02-01,2:10,0.4293,434.0906333333333,0.0,491.0856773597414,0.0,24.180353319877895,515.2660306796192,0.0,0.0,0.0,81.17539734628593,10800.0
2025-02-01,2:20,0.4324,490.5609166666666,0.0,497.82342390455057,0.0,25.438404311458193,523.2618282160088,0.0,0.0,0.0,32.70091154934215,10800.0
2025-02-01,2:30,0.4367,503.22,0.0,508.2527809838799,0.0,29.74333333333334,537.9961143172133,0.0,0.0,0.0,34.77611431721323,10800.0
2025-02-01,2:40,0.4348,474.07281666666665,0.0,502.63175174033324,0.0,26.71256376937284,529.3443155097061,0.0,0.0,0.0,55.27149884303947,10800.0
2025-02-01,2:50,0.4335,461.38439999999997,0.0,508.39848109986076,0.0,25.438404311458193,533.8368854113189,0.0,0.0,0.0,72.45248541131895,10800.0
2025-02-01,3:00,0.4357,476.94166666666666,0.0,525.8616583466285,0.0,26.71256376937284,552.5742221160014,0.0,0.0,0.0,75.63255544933469,10800.0
2025-02-01,3:10,0.4374,483.39955,0.0,526.5280735188528,0.0,28.520670639861084,555.0487441587139,0.0,0.0,0.0,71.64919415871395,10800.0
2025-02-01,3:20,0.4371,486.6019166666666,0.0,522.5884372810979,0.0,29.74333333333334,552.3317706144312,0.0,0.0,0.0,65.72985394776458,10800.0
2025-02-01,3:30,0.4356,498.84833333333336,0.0,517.8411388045624,0.0,28.520670639861084,546.3618094444236,0.0,0.0,0.0,47.5134761110902,10800.0
2025-02-01,3:40,0.4353,518.3097333333333,0.0,505.96212039741073,0.0,25.91768909951103,531.8798094969218,0.0,0.0,0.0,13.57007616358851,10800.0
2025-02-01,3:50,0.436,509.13346666666666,0.0,514.2383649547686,0.0,26.163797998952607,540.4021629537212,0.0,0.0,0.0,31.26869628705458,10800.0
2025-02-01,4:00,0.4378,483.6166666666666,0.0,535.9229939383621,0.0,30.672366666666676,566.5953606050288,0.0,0.0,0.0,82.97869393836214,10800.0
2025-02-01,4:10,0.4401,491.1868,0.0,534.8796730844412,0.0,32.5296767764424,567.4093498608836,0.0,0.0,0.0,76.22254986088359,10800.0
2025-02-01,4:20,0.4389,504.64528333333334,0.0,527.4250955381619,0.0,33.47059395656985,560.8956894947318,0.0,0.0,0.0,56.250406161398416,10800.0
2025-02-01,4:30,0.4364,505.57833333333326,0.0,530.468836945297,0.0,32.5296767764424,562.9985137217394,0.0,0.0,0.0,57.42018038840615,10800.0
2025-02-01,4:40,0.4393,503.23096666666663,0.0,542.866360129556,0.0,30.672366666666676,573.5387267962227,0.0,0.0,0.0,70.30776012955607,10800.0
2025-02-01,4:50,0.4422,502.84698333333336,0.00023333333333333333,544.389784898213,0.0,34.1254369567802,578.5152218549931,0.0,0.0,0.0,75.66847185499307,10800.0
2025-02-01,5:00,0.4395,499.64166666666665,0.0,536.9606327716647,0.0,34.76975789780188,571.7303906694665,0.0,0.0,0.0,72.08872400279984,10800.0
2025-02-01,5:10,0.4333,488.78358333333335,0.0,542.1848703249976,0.0,34.66097551557883,576.8458458405764,0.0,0.0,0.0,88.06226250724308,10800.0
2025-02-01,5:20,0.4439,498.51875,0.0033166666666666665,553.540722790272,0.0,34.66097551557883,588.2016983058508,0.0,0.0,0.0,89.68626497251745,10800.0
2025-02-01,5:30,0.4301,529.2233333333334,0.0,562.740971811602,0.0,34.66097551557883,597.4019473271808,0.0,0.0,0.0,68.17861399384742,10800.0
2025-02-01,5:40,0.3713,547.4103166666666,0.0,565.6287321886814,0.0,32.78932022231356,598.418052410995,0.0,0.0,0.0,51.00773574432833,10800.0
2025-02-01,5:50,0.5708,531.2274,0.04623333333333333,553.4943849865591,0.0,32.78932022231356,586.2837052088727,0.0,0.0,0.0,55.10253854220605,10800.0
2025-02-01,6:00,0.9099,510.98333333333335,0.0,543.0208060122052,0.0,31.162684716583648,0.0,0.0,510.98333333333335,0.0,0.0,10232.24074074074
