日期,时段,电价,实际负载电量,实际光伏电量,预测负载电量,预测光伏电量,自适应分位数,安全裕度电量,计划购电量,实际充电量,实际放电量,紧急购电量,弃电量,时段末储电量
2025-02-01,0:00,0.4276,580.8233333333333,0.0,570.6911762205982,0.0,0.75,18.145069486391918,588.8362457069901,0.0,0.0,0.0,8.012912373656832,10800.0
2025-02-01,0:10,0.4248,422.0303666666667,0.0,446.4343603524211,0.0,0.75,18.35144885498584,464.78580920740694,0.0,0.0,0.0,42.75544254074026,10800.0
2025-02-01,0:20,0.4245,415.4073166666667,0.0,450.7380241324796,0.0,0.75,20.38571920955717,471.1237433420368,0.0,0.0,0.0,55.71642667537009,10800.0
2025-02-01,0:30,0.4269,410.7166666666667,0.0,457.9370927694699,0.0,0.75,21.481944444444455,479.4190372139144,0.0,0.0,0.0,68.70237054724771,10800.0
2025-02-01,0:40,0.4272,430.29479999999995,0.0,464.71361060956866,0.0,0.75,23.292958333333395,488.00656894290205,0.0,0.0,0.0,57.7117689429021,10800.0
2025-02-01,0:50,0.4271,424.4105833333333,0.0,472.2863165537934,0.0,0.75,23.37676388888888,495.6630804426823,0.0,0.0,0.0,71.25249710934901,10800.0
2025-02-01,1:00,0.4285,406.0516666666666,0.0,478.8762642639505,0.0,0.75,23.406244789506317,502.2825090534568,0.0,0.0,0.0,96.23084238679019,10800.0
2025-02-01,1:10,0.4311,436.7501833333333,0.0,478.8564206404604,0.0,0.75,23.66465420377128,502.5210748442317,0.0,0.0,0.0,65.77089151089837,10800.0
2025-02-01,1:20,0.4302,451.7976833333333,0.0,468.6351638001222,0.0,0.75,23.66465420377128,492.2998180038935,0.0,0.0,0.0,40.502134670560224,10800.0
2025-02-01,1:30,0.4279,446.08,0.0,463.3690982241308,0.0,0.75,26.086299919526507,489.4553981436573,0.0,0.0,0.0,43.37539814365732,10800.0
2025-02-01,1:40,0.4312,471.7663333333333,0.0,483.50959694608923,0.0,0.75,23.66465420377128,507.17425114986054,0.0,0.0,0.0,35.40791781652723,10800.0
2025-02-01,1:50,0.4333,448.02596666666665,0.0,499.18180358370546,0.0,0.75,22.551625000000023,521.7334285837055,0.0,0.0,0.0,73.70746191703887,10800.0
2025-02-01,2:00,0.4311,397.4033333333333,0.0,496.602091459769,0.0,0.75,21.198670259548496,517.8007617193175,0.0,0.0,0.0,120.3974283859842,10800.0
2025-02-01,2:10,0.4293,434.0906333333333,0.0,491.0856773597414,0.0,0.75,20.15029443323158,511.23597179297303,0.0,0.0,0.0,77.14533845963973,10800.0
2025-02-01,2:20,0.4324,490.5609166666666,0.0,497.82342390455057,0.0,0.75,21.198670259548496,519.022094164099,0.0,0.0,0.0,28.461177497432402,10800.0
2025-02-01,2:30,0.4367,503.22,0.0,508.2527809838799,0.0,0.75,24.78611111111112,533.0388920949911,0.0,0.0,0.0,29.818892094991043,10800.0
2025-02-01,2:40,0.4348,474.07281666666665,0.0,502.63175174033324,0.0,0.75,22.2604698078107,524.892221548144,0.0,0.0,0.0,50.81940488147734,10800.0
2025-02-01,2:50,0.4335,461.38439999999997,0.0,508.39848109986076,0.0,0.75,21.198670259548496,529.5971513594093,0.0,0.0,0.0,68.21275135940931,10800.0
2025-02-01,3:00,0.4357,476.94166666666666,0.0,525.8616583466285,0.0,0.75,22.2604698078107,548.1221281544392,0.0,0.0,0.0,71.18046148777256,10800.0
2025-02-01,3:10,0.4374,483.39955,0.0,526.5280735188528,0.0,0.75,23.76722553321757,550.2952990520704,0.0,0.0,0.0,66.89574905207041,10800.0
2025-02-01,3:20,0.4371,486.6019166666666,0.0,522.5884372810979,0.0,0.75,24.78611111111112,547.374548392209,0.0,0.0,0.0,60.7726317255424,10800.0
2025-02-01,3:30,0.4356,498.84833333333336,0.0,517.8411388045624,0.0,0.75,23.76722553321757,541.60836433778,0.0,0.0,0.0,42.76003100444666,10800.0
2025-02-01,3:40,0.4353,518.3097333333333,0.0,505.96212039741073,0.0,0.75,21.598074249592525,527.5601946470033,0.0,0.0,0.0,9.25046131367003,10800.0
2025-02-01,3:50,0.436,509.13346666666666,0.0,514.2383649547686,0.0,0.75,21.803164999127173,536.0415299538957,0.0,0.0,0.0,26.908063287229083,10800.0
2025-02-01,4:00,0.4378,483.6166666666666,0.0,535.9229939383621,0.0,0.75,25.560305555555566,561.4832994939177,0.0,0.0,0.0,77.86663282725107,10800.0
2025-02-01,4:10,0.4401,491.1868,0.0,534.8796730844412,0.0,0.75,27.10806398036867,561.9877370648098,0.0,0.0,0.0,70.80093706480983,10800.0
2025-02-01,4:20,0.4389,504.64528333333334,0.0,527.4250955381619,0.0,0.75,27.892161630474877,555.3172571686368,0.0,0.0,0.0,50.671973835303504,10800.0
2025-02-01,4:30,0.4364,505.57833333333326,0.0,530.468836945297,0.0,0.75,27.10806398036867,557.5769009256657,0.0,0.0,0.0,51.99856759233239,10800.0
2025-02-01,4:40,0.4393,503.23096666666663,0.0,542.866360129556,0.0,0.75,25.560305555555566,568.4266656851116,0.0,0.0,0.0,65.195699018445,10800.0
2025-02-01,4:50,0.4422,502.84698333333336,0.00023333333333333333,544.389784898213,0.0,0.75,28.437864130650166,572.8276490288631,0.0,0.0,0.0,69.98089902886306,10800.0
2025-02-01,5:00,0.4395,499.64166666666665,0.0,536.9606327716647,0.0,0.75,28.974798248168234,565.9354310198329,0.0,0.0,0.0,66.29376435316624,10800.0
2025-02-01,5:10,0.4333,488.78358333333335,0.0,542.1848703249976,0.0,0.75,28.884146262982362,571.06901658798,0.0,0.0,0.0,82.28543325464659,10800.0
2025-02-01,5:20,0.4439,498.51875,0.0033166666666666665,553.540722790272,0.0,0.75,28.884146262982362,582.4248690532543,0.0,0.0,0.0,83.90943571992096,10800.0
2025-02-01,5:30,0.4301,529.2233333333334,0.0,562.740971811602,0.0,0.75,28.884146262982362,591.6251180745843,0.0,0.0,0.0,62.401784741250935,10800.0
2025-02-01,5:40,0.3713,547.4103166666666,0.0,565.6287321886814,0.0,0.75,27.32443351859464,592.9531657072761,0.0,0.0,0.0,45.54284904060944,10800.0
2025-02-01,5:50,0.5708,531.2274,0.04623333333333333,553.4943849865591,0.0,0.75,27.32443351859464,580.8188185051538,0.0,0.0,0.0,49.63765183848716,10800.0
2025-02-01,6:00,0.9099,510.98333333333335,0.0,543.0208060122052,0.0,0.75,25.968903930486373,0.0,0.0,510.98333333333335,0.0,0.0,10232.24074074074
2025-02-01,6:10,0.9368,535.1871833333332,0.0,559.9564674767822,0.0,0.75,23.89221536047608,0.0,0.0,535.1871833333332,0.0,0.0,9637.588314814815
2025-02-01,6:20,0.8758,533.9993499999999,0.6440166666666667,562.394755369138,0.45129403590048095,0.75,24.40730555555553,0.0,0.0,533.3553333333333,0.0,0.0,9044.971277777779
2025-02-01,6:30,0.8759,504.52,0.0,546.9541316332018,0.0,0.75,22.003526093257936,0.0,0.0,504.52,0.0,0.0,8484.3935
2025-02-01,6:40,0.8601,519.5536833333333,0.0,556.8965828977775,0.09316225257454591,0.75,17.178492559199867,0.0,0.0,519.5536833333333,0.0,0.0,7907.1116296296295
2025-02-01,6:50,0.8442,566.415,14.934916666666666,597.9695676850861,7.620532700961548,0.75,17.178492559199867,0.0,0.0,551.4800833333333,0.0,0.0,7294.355981481482
2025-02-01,7:00,0.8334,608.7916666666666,56.75,639.4379236870268,35.31051829442365,0.75,17.178492559199867,0.0,0.0,552.0416666666666,0.0,0.0,6680.976351851852
2025-02-01,7:10,0.8092,617.2140499999999,102.656,642.3155788638577,74.98812705818716,0.75,16.230902777777803,0.0,0.0,514.5580499999999,0.0,0.0,6109.245185185186
2025-02-01,7:20,0.7972,595.3964666666666,147.48791666666665,639.124625138407,119.78090677116047,0.75,16.230902777777803,0.0,0.0,447.90854999999993,0.0,0.0,5611.569018518519
2025-02-01,7:30,0.7644,579.5366666666666,190.11249999999998,647.4681853142508,165.15875319944658,0.75,15.636572463818588,0.0,0.0,389.4241666666667,0.0,0.0,5178.875500000001
2025-02-01,7:40,0.6899,609.0003666666667,231.34661666666665,652.5563262112775,209.746010697948,0.75,16.230902777777803,0.0,0.0,377.65375,0.0,0.0,4759.260222222223
2025-02-01,7:50,0.86,640.2366833333333,279.07533333333333,643.2738766498444,256.22888390342086,0.75,15.636572463818588,0.0,0.0,361.16134999999997,0.0,0.0,4357.9698333333345
2025-02-01,8:00,1.1617,633.9416666666666,334.01874999999995,630.2291881115657,305.01912605840073,0.75,17.792708333333344,0.0,0.0,299.92291666666665,0.0,0.0,4024.7221481481492
2025-02-01,8:10,1.1683,590.91065,388.6844166666666,635.2198759112803,354.0804806196221,0.75,15.636572463818588,0.0,0.0,202.22623333333343,0.0,0.0,3800.026333333334
2025-02-01,8:20,1.0956,568.5581666666667,438.7655666666667,643.5713368982034,404.52661735885624,0.75,15.636572463818588,0.0,0.0,129.7926,0.0,0.0,3655.812333333334
