scenario_id,口径说明,eta_c,eta_d,solver_status,全天购电量_kWh,全天购电费_元,全天总充电量_kWh,全天总放电量_kWh,相对主口径购电量变化_kWh,相对主口径购电费变化_元,相对主口径充电量变化_kWh,相对主口径放电量变化_kWh,二阶段退化处理
main_eta_0p9,主口径：充放电效率均为0.9,0.9000000000,0.9000000000,optimal,59482.6989983539,35126.9485892896,20740.6661316872,16799.9395666667,0.0000000000,0.0000000000,0.0000000000,0.0000000000,false
round_trip_eta_sqrt_0p9,敏感性：整体往返效率解释,0.9486832981,0.9486832981,optimal,57526.2434808835,33801.4955422220,19842.7104755018,17858.4394279516,-1956.4555174704,-1325.4530470676,-897.9556561855,1058.4998612849,false
