date,slot,endpoint_minute,price,load_kw,pv_kw,load_forecast_kw,pv_forecast_kw,initial_contract_kwh,final_contract_kwh,active_contract_kwh,charge_kwh,discharge_kwh,emergency_kwh,curtailment_kwh,grid_spill_kwh,soc_start_kwh,soc_end_kwh,active_issue
2025-02-01,0,20,0.4245,2492.4439,0.0,2676.269399681003,0.0,495.19066179494627,495.19066179494627,495.19066179494627,79.78334512827956,0.0,0.0,0.0,0.0,10522.27035426295,10594.075364878401,0
2025-02-01,1,30,0.4269,2464.3,0.0,2657.701938554756,0.0,491.7628057548141,491.7628057548141,491.7628057548141,81.04613908814741,0.0,0.0,0.0,0.0,10594.075364878401,10667.016890057734,0
2025-02-01,2,40,0.4272,2581.7688,0.0,2854.3216528075736,0.0,528.0620106125981,528.0620106125981,528.0620106125981,97.76721061259815,0.0,0.0,0.0,0.0,10667.016890057734,10755.007379609073,0
2025-02-01,3,50,0.4271,2546.4635,0.0,2896.4032236388693,0.0,535.8309546686271,535.8309546686271,535.8309546686271,49.99180043436354,0.0,0.0,0.0,61.428570900930254,10755.007379609073,10800.0,0
2025-02-01,4,60,0.4285,2436.31,0.0,2802.940446245053,0.0,518.5762021831601,518.5762021831601,518.5762021831601,0.0,0.0,0.0,0.0,112.52453551649347,10800.0,10800.0,0
2025-02-01,5,70,0.4311,2620.5011,0.0,2934.0021090432883,0.0,542.7723219110005,542.7723219110005,542.7723219110005,0.0,0.0,0.0,0.0,106.02213857766719,10800.0,10800.0,0
2025-02-01,6,80,0.4302,2710.7861,0.0,2913.9025846937893,0.0,485.65711111638643,485.65711111638643,485.65711111638643,0.0,0.0,0.0,0.0,33.85942778305315,10800.0,10800.0,0
2025-02-01,7,90,0.4279,2676.48,0.0,2780.8472698869264,0.0,463.5264893119063,463.5264893119063,463.5264893119063,0.0,0.0,0.0,0.0,17.446489311906305,10800.0,10800.0,0
2025-02-01,8,100,0.4312,2830.598,0.0,2958.9980866987335,0.0,493.15768710918496,493.15768710918496,493.15768710918496,0.0,0.0,0.0,0.0,21.391353775851655,10800.0,10800.0,0
2025-02-01,9,110,0.4333,2688.1558,0.0,3026.8921700661103,0.0,504.45027082856717,504.45027082856717,504.45027082856717,0.0,0.0,0.0,0.0,56.42430416190052,10800.0,10800.0,0
2025-02-01,10,120,0.4311,2384.42,0.0,2919.0783210290547,0.0,486.517973108722,486.517973108722,486.517973108722,0.0,0.0,0.0,0.0,89.11463977538864,10800.0,10800.0,0
2025-02-01,11,130,0.4293,2604.5438,0.0,3001.5197190334716,0.0,500.2301604265808,500.2301604265808,500.2301604265808,0.0,0.0,0.0,0.0,66.13952709324752,10800.0,10800.0,0
2025-02-01,12,140,0.4324,2943.3655,0.0,3079.5363339314754,0.0,513.2462651707887,513.2462651707887,513.2462651707887,0.0,0.0,0.0,0.0,22.685348504122032,10800.0,10800.0,0
2025-02-01,13,150,0.4367,3019.32,0.0,3037.329875491675,0.0,506.22566816076665,506.22566816076665,506.22566816076665,0.0,0.0,0.0,0.0,3.005668160766618,10800.0,10800.0,0
