policy,model,settlement_cost,emergency_cost,total_cost,emergency_kwh
0,deterministic LP ablation,12551889.865163354,4137670.39166512,16689560.256828472,692133.2178370222
0+6,deterministic LP ablation,13854875.668647505,2328768.811229838,16183644.479877345,389189.2910089917
0+6+12,deterministic LP ablation,14094901.442668485,1501648.121473701,15596549.564142184,262903.3583566133
0+6+12+18,deterministic LP ablation,14428791.515002634,529817.9121601807,14958609.427162811,105427.97544157827
0+6+12+18,5-scenario stochastic LP + CVaR,14634054.82672259,384378.3181265678,15018433.144849159,76721.43458128799
