date,series,issue_hour,mae_kw,rmse_kw
2025-02-01,load_day_ahead,0,203.1001324813593,241.37468403433007
2025-02-01,pv_raw,0,129.19989583333336,246.03823391243404
2025-02-01,pv_corrected,0,149.74642500000002,274.5035257916934
2025-02-01,pv_raw,6,119.21467916666666,229.00896358281017
2025-02-01,pv_corrected,6,130.9495208333333,249.41343139212725
2025-02-01,pv_raw,12,351.14280416666674,923.5620587293672
2025-02-01,pv_corrected,12,375.6930333333334,979.3964950955411
2025-02-01,pv_raw,18,185.57883749999996,330.752390348492
2025-02-01,pv_corrected,18,162.9961833333333,287.19549819251597
2025-02-02,load_day_ahead,0,189.68137487307828,227.432114588701
2025-02-02,pv_raw,0,113.70776666666677,206.00694565266298
2025-02-02,pv_corrected,0,124.13146041666674,239.3776230028478
2025-02-02,pv_raw,6,37.56974166666668,71.8957087707257
2025-02-02,pv_corrected,6,42.68169583333335,79.97481777271493
2025-02-02,pv_raw,12,184.62628749999996,427.27842313573325
2025-02-02,pv_corrected,12,202.86068749999993,489.8480409550815
2025-02-02,pv_raw,18,169.03459583333338,375.4030998296493
2025-02-02,pv_corrected,18,152.81517083333335,343.80375620192325
2025-02-03,load_day_ahead,0,159.9551717235855,202.92581090151992
2025-02-03,pv_raw,0,149.08553333333333,284.7376049696486
2025-02-03,pv_corrected,0,168.46131250000002,319.53312948798765
2025-02-03,pv_raw,6,33.19290833333334,87.62892671738513
2025-02-03,pv_corrected,6,35.6697958333334,86.13825024593955
2025-02-03,pv_raw,12,132.4687125,318.5913653385759
2025-02-03,pv_corrected,12,130.04142083333335,318.4039380098357
2025-02-03,pv_raw,18,130.92975833333335,254.628174843964
2025-02-03,pv_corrected,18,151.64313333333334,272.5863159976731
2025-02-04,load_day_ahead,0,233.61070673535562,274.8622599608289
2025-02-04,pv_raw,0,156.9807166666667,321.2048394620169
2025-02-04,pv_corrected,0,171.03861250000003,347.57076658458203
2025-02-04,pv_raw,6,61.40372916666664,140.65876509951747
2025-02-04,pv_corrected,6,52.82819166666665,129.2739507352747
2025-02-04,pv_raw,12,184.87125833333334,451.5057511533804
2025-02-04,pv_corrected,12,194.64198125,463.54227479798436
2025-02-04,pv_raw,18,309.62755833333335,599.9291827745561
2025-02-04,pv_corrected,18,342.17280624999995,662.3039893284285
2025-02-05,load_day_ahead,0,169.2691114894316,217.04443648071884
2025-02-05,pv_raw,0,87.18477916666667,196.8401339715399
2025-02-05,pv_corrected,0,91.99939583333334,200.4133147860556
2025-02-05,pv_raw,6,33.02705000000001,88.78463943379137
2025-02-05,pv_corrected,6,25.587829166666666,63.628200542052035
2025-02-05,pv_raw,12,214.61419999999998,480.00619134459697
2025-02-05,pv_corrected,12,216.81160416666663,491.4011946375025
2025-02-05,pv_raw,18,195.13344583333335,363.1598354201833
2025-02-05,pv_corrected,18,223.04007500000003,418.6892064023873
2025-02-06,load_day_ahead,0,167.67634343378194,204.43931411096628
2025-02-06,pv_raw,0,253.6976958333333,483.04183191520315
2025-02-06,pv_corrected,0,252.13774583333335,482.6885033210682
2025-02-06,pv_raw,6,102.11743750000004,203.04580431599356
2025-02-06,pv_corrected,6,91.83416250000005,184.28015014213753
2025-02-06,pv_raw,12,361.9572208333332,841.2022631184248
2025-02-06,pv_corrected,12,355.6101875,836.3388223307279
2025-02-06,pv_raw,18,126.90476666666666,274.0178748993545
2025-02-06,pv_corrected,18,103.48533749999997,246.15707090415103
2025-02-07,load_day_ahead,0,197.32395827076073,240.02700154203654
2025-02-07,pv_raw,0,179.4606666666667,367.01443622180705
2025-02-07,pv_corrected,0,177.89239166666673,366.7464487612594
2025-02-07,pv_raw,6,142.6274958333333,278.21098240509616
2025-02-07,pv_corrected,6,130.1866791666666,260.1660369900304
2025-02-07,pv_raw,12,123.37729166666668,284.8858610116383
2025-02-07,pv_corrected,12,132.03879999999998,306.8785733567907
2025-02-07,pv_raw,18,202.05875416666663,370.1277935546479
2025-02-07,pv_corrected,18,214.97354999999993,397.26077586513196
2025-02-08,load_day_ahead,0,137.67866136243492,165.38915557907407
2025-02-08,pv_raw,0,162.2545875,287.6220099531871
2025-02-08,pv_corrected,0,162.01302916666663,288.1154051674469
2025-02-08,pv_raw,6,26.029962500000053,51.700468824022806
2025-02-08,pv_corrected,6,34.25275833333331,68.52540019680656
2025-02-08,pv_raw,12,84.73167500000001,171.62911007541086
2025-02-08,pv_corrected,12,64.51012083333329,147.25305710086997
2025-02-08,pv_raw,18,290.73140000000006,537.1307661805813
2025-02-08,pv_corrected,18,279.4193875,506.2959072489019
2025-02-09,load_day_ahead,0,115.21687188376917,139.81023874023475
2025-02-09,pv_raw,0,150.05054166666667,288.0099460903593
2025-02-09,pv_corrected,0,148.01742916666666,285.1656775876284
2025-02-09,pv_raw,6,102.15590833333339,187.1378226319443
2025-02-09,pv_corrected,6,84.5618166666667,152.36427660654806
2025-02-09,pv_raw,12,223.44203750000008,602.8369638741706
2025-02-09,pv_corrected,12,223.35878333333343,651.6790179608881
2025-02-09,pv_raw,18,314.23327916666665,589.7854957189326
