date,soc_start_kwh,soc_end_kwh,initial_contract_kwh,final_contract_kwh,settlement_cost,emergency_kwh,emergency_cost,charge_kwh,discharge_kwh,curtailment_kwh,grid_spill_kwh,total_cost,mean_lp_objective,block_0_charge_kwh,block_0_discharge_kwh,block_1_charge_kwh,block_1_discharge_kwh,block_2_charge_kwh,block_2_discharge_kwh,block_3_charge_kwh,block_3_discharge_kwh,block_4_charge_kwh,block_4_discharge_kwh,block_5_charge_kwh,block_5_discharge_kwh
2025-02-01,9772.270384262949,9848.604730604751,45855.54757114898,40993.51531824992,24469.47237389457,0.0,0.0,19525.206553202395,15750.181530987958,1380.8642906977057,1282.816388671104,24469.47237389457,5799.699238884373,1159.3676776408672,14.131164725758367,0.0,6766.691686699482,4936.263866666666,677.7272833333333,4318.119500394173,51.63155728646473,9.749155729024153,5338.142092695815,9105.984296724302,2901.857746247106
2025-02-02,9848.604730604751,9850.486324846845,90823.28091449518,87906.93783996115,67549.90203262364,300.66630178075934,2026.9976955806887,18310.76573766482,14826.561678088987,3199.427455101186,3213.1460770648887,69576.89972820433,15055.861155417999,1202.6380441854637,117.88107333449943,0.0,1442.4495024950404,2392.954992128977,6085.081770437336,4691.78090533273,13.459153945886328,407.4623800129691,7167.690177876224,9611.651472052048,0.0
2025-02-03,9850.486324846845,9957.164109617512,93361.0201711132,89927.33241776255,69136.84709957997,114.85078288105899,778.6711831913408,18816.21508855192,15145.124215433463,3695.3521119208654,2455.9338322709445,69915.51828277131,15758.334592452542,1178.1258620438496,99.71964061767858,9.25937053638538,2446.406514890565,3465.798748174435,5984.621423729876,4296.329494341815,0.0,113.24203393363234,6595.522075438442,9753.459579521803,18.85456075690024
2025-02-04,9957.164109617512,10019.486728466412,96250.70757659123,91229.71423254453,72274.41002569831,0.0,0.0,18511.834746776964,14976.546962653203,2366.4549372086167,4097.634861212148,72274.41002569831,16456.30053935246,950.0175039383884,10.96187684585584,1.047239777161849,1636.5378940417504,4825.429091665643,6411.3447166666665,2909.1492861256593,944.0284690086713,53.862229214834656,5954.058651254619,9819.306154978574,19.61535483563887
2025-02-05,10019.486728466412,10161.658071827755,90096.43189224874,87073.30551825001,65812.8422104884,140.8775375515705,829.7683514888281,19330.576929208633,15592.254166550894,1805.8574842084906,930.1642422686875,66642.61056197723,14587.832464967158,910.5836800827533,38.153604612497816,49.073944502035246,806.7581946828492,5133.277652512462,5790.510878970137,3336.0033639836843,299.55567662984254,21.328162537739445,8465.583742185816,9957.397857586393,191.69206946975126
2025-02-06,10161.658071827755,10277.789324938787,95372.22114366843,88340.95793781846,68620.63792522317,21.05289999999991,122.98051534999946,18878.367160547485,15291.477400043466,1421.8380030387132,3278.9615576090723,68743.61844057318,16032.11783787232,788.4763162836347,72.27476789614968,17.568041313683757,1812.7160446297032,5023.200157451518,6109.419382318862,3356.675610935345,1256.8319518129028,0.0,5998.3329310977215,9821.481760242228,41.90232228812317
2025-02-07,10277.789324938787,9431.500637226387,46617.414100934955,41273.155089127424,24570.220654516193,57.4183377393755,249.04347208645862,18954.21948346334,15909.567235101558,5542.636820024697,933.5638918136495,24819.26412660265,5872.4328901008375,660.2338679474545,64.79982548234659,7.77392262584423,6055.970810988197,6575.320251434269,1115.3134500000003,2273.5958466467514,24.84072229107187,38.08455906994278,5748.400055378744,9146.11181914043,2900.2423709612003
2025-02-08,9431.500637226387,9420.484097809947,36504.25370106094,36976.84702170129,21351.320383302384,232.41280545496713,1211.4922202216112,21013.7144292015,17031.02357312801,1172.338508591059,298.5056124916979,22562.812603523995,4978.04130948025,1213.1765427460093,228.048705942173,0.0,7948.930434624762,6100.109028695319,214.04443256108195,4566.557637971349,12.711208243118676,0.0,5926.254113106259,9133.871219788829,2701.034678650618
2025-02-09,9420.484097809947,9385.375109139144,87505.2817145335,85877.55231555476,62839.49605690479,18.221236848275883,89.12922250772634,19896.56224129903,16165.210474330048,2555.897291666789,58.69692710060667,62928.62527941252,14303.647774048333,1698.2729319320028,166.3858526641868,123.23738206931682,1132.02312056955,5352.421823899648,5930.108766666666,3643.3551462260984,291.92064827147453,0.0,8173.250027458589,9100.752696769627,471.5220586995822
2025-02-10,9385.375109139144,9210.189667740025,85071.57909575444,78812.27508896618,58260.84023849076,280.51926353038397,1240.065924655309,20715.69018414363,16945.65502978262,631.5503124651476,358.9747023370843,59500.90616314607,13392.774432947803,1687.5080318570397,93.71910402943104,43.431524422198095,1809.6602258832138,4734.537512260684,5010.381803320694,5352.515794664628,1385.650684187576,6.471200391125194,8053.857861687917,8901.44721112459,592.3853506737885
2025-02-11,9210.189667740025,9243.12610385856,84966.13515247696,79256.07603388342,58158.45789572475,520.9021805967204,2928.2282452170157,21136.66960367498,17065.383534028868,318.8459342459073,189.61906058812036,61086.68614094177,13183.930404098268,1811.9691402996914,78.71047780472043,78.7219709889772,2729.9776951477,4919.7290590200955,5403.935444529829,5311.196713831573,175.05675963744693,46.547107295275055,8180.208189297565,8936.806782065067,497.4949676116061
