基线,发行时刻,开始日期,结束日期,可评价天数,样本数,MAE_kW,RMSE_kW,Bias_kW,WAPE,电价加权绝对误差均值,价格归一化MAE_kW,实际绝对值总和_kW
LOAD_W1,0,2025-01-08,2025-12-31,358,51552,174.549919766449,240.458764864807,2.92954480912477,0.0377539114362612,134.350168578823,175.346718419526,238343448.9693
LOAD_D1,0,2025-01-08,2025-12-31,358,51552,650.330989513501,1129.14077177432,0.364962414649289,0.140661987213747,535.728217443861,699.204071622805,238343448.9693
LOAD_W1,6,2025-01-08,2025-12-31,358,38664,175.964690047589,243.280817834173,3.07271615456239,0.0353140890484599,153.62569608498,176.185049767582,192656782.5851
LOAD_D1,6,2025-01-08,2025-12-31,358,38664,738.176364075109,1261.37234660295,0.387849084419619,0.148143504514267,654.859281211117,751.022895200561,192656782.5851
LOAD_W1,12,2025-01-08,2025-12-31,358,25776,183.997526606145,257.606108170421,2.9697610257604,0.038619959843334,162.596910631148,184.444052474452,122804898.4266
LOAD_D1,12,2025-01-08,2025-12-31,358,25776,693.831062247828,1185.6952519513,0.373061006362507,0.145630912851488,623.732362867686,707.539425074063,122804898.4266
LOAD_W1,18,2025-01-08,2025-12-31,358,12888,188.563533170391,264.869022215719,2.38578419459963,0.0476646276138786,174.096316163214,187.948090427738,50985540.7911
LOAD_D1,18,2025-01-08,2025-12-31,358,12888,499.192720142769,774.458190564386,0.0746734326505269,0.126184711927642,497.300243707792,536.867368787425,50985540.7911
