date,issue_hour,prefix_mean_residual,prefix_median_residual,prefix_last6_mean_residual,prefix_mean_scale,prefix_median_scale,prefix_last6_mean_scale,prefix_scale_valid_slots,future_mean_residual,future_median_residual,future_mean_scale,future_median_scale,future_scale_valid_slots
2025-01-08,6,49.0402083333334,53.9137000000001,34.1889166666665,1.01277119181519,1.01325982666933,1.00550593227402,36,-49.1360935185184,-50.6923000000002,0.989793483496341,0.991134363675888,108
2025-01-08,12,15.7216152777778,-7.53814999999986,46.7418666666669,1.00568864376508,0.998376681661016,1.00793475315845,72,-64.9056513888888,-67.3366000000003,0.985387177387028,0.98580670445058,72
2025-01-08,18,-0.217541666666581,-19.8499999999995,-16.7196999999998,1.00209572114325,0.996392722853402,0.993971875330903,108,-97.7154472222222,-86.4133999999999,0.975864478874461,0.980602208462448,36
2025-01-09,6,15.0863055555556,38.2541000000001,13.7442999999998,1.00456462768578,1.00994764942415,1.00143369393445,36,-37.8321175925925,-22.5865499999998,0.991804698763688,0.996063526407831,108
2025-01-09,12,13.6394180555556,31.3960999999999,38.8328166666668,1.00327525406459,1.00554042479092,1.00591603212055,72,-62.8444416666666,-32.8535499999998,0.986714107923826,0.993874356862319,72
2025-01-09,18,-9.67561759259253,-9.3415500000001,-83.0388666666663,0.999164891731402,0.998569940982325,0.982418575305007,108,-69.3831944444444,-50.6118500000002,0.982484048782634,0.988664521143223,36
2025-01-10,6,-70.0478722222222,-89.2800000000002,-12.2377166666667,0.979704699496697,0.971001771711079,1.00152576305596,36,1.2982740740741,10.6108000000002,1.00054945415273,1.00366880444357,108
2025-01-10,12,-27.3014958333333,-33.5429999999999,-177.702716666667,0.99260823438026,0.990949849505292,0.959953027339768,72,-5.77502916666665,-20.5059999999999,0.998068296597184,0.993316864383389,72
2025-01-10,18,-17.0255333333333,13.2165,-53.2073833333333,0.99529224841512,1.00366880444357,0.982209807189944,108,-15.07645,-51.8848499999999,0.995476316709529,0.981000117802559,36
2025-01-11,6,10.8015972222222,16.5817,-21.7123666666667,1.00464335786177,1.0056214368626,0.994371793244487,36,-19.2413712962963,-15.8968500000001,0.995699736432986,0.995286516782039,108
2025-01-11,12,9.72344583333331,16.5817,-41.1827333333334,1.00467353113537,1.0056214368626,0.991500209341156,72,-33.1847041666667,-30.0438999999999,0.991197752444996,0.989459249455978,72
2025-01-11,18,-4.49176481481484,7.64195000000018,-5.81956666666671,1.00057733964052,1.00182579959137,0.998205468585551,108,-33.4472222222222,-42.85175,0.990010548239161,0.985562109167953,36
2025-01-12,6,-30.2187083333333,-32.7868499999997,60.0571333333332,0.993821111662875,0.991529837358996,1.01806773117038,36,-54.082200925926,-48.1409500000004,0.991528472532795,0.991900049595496,108
2025-01-12,12,-55.6496347222222,-61.5662000000002,-182.959066666667,0.991188089917467,0.989157975285772,0.973932908125498,72,-40.5830208333334,-31.0328000000002,0.993015174713162,0.993425778286566,72
2025-01-12,18,-50.4012203703704,-48.1409500000004,10.3001999999998,0.992328512339801,0.991995878856952,1.00318885562625,108,-41.26165,-31.0328000000002,0.991420992241855,0.991343422264562,36
2025-01-13,6,-18.5564638888888,-9.63864999999987,31.7735833333334,0.995757453136937,0.997406750567364,1.00787860060755,36,14.7226916666667,21.8357500000002,1.00345437874811,1.00425932079915,108
2025-01-13,12,7.30732222222226,5.69390000000021,10.1009333333332,1.00071578051616,1.00102728758246,1.00099385375401,72,5.49848333333335,17.5783999999999,1.00234451417446,1.00425932079915,72
2025-01-13,18,3.06331111111116,6.44875000000002,-69.0679833333335,1.00012945306313,1.00119514587176,0.987605718407511,108,16.4216777777777,31.1333999999997,1.00573223019188,1.00797598875144,36
2025-01-14,6,66.4376666666667,72.5491,-20.08785,1.01761261535896,1.01699889985666,0.995677994521832,36,-12.0331962962963,21.6849999999999,1.00096928002869,1.00374206842903,108
2025-01-14,12,46.694675,33.2897000000003,-79.2651666666666,1.011047541507,1.00501566757642,0.988484399001448,72,-31.5256361111111,14.2251000000001,0.99921268621552,1.00248076092238,72
2025-01-14,18,-7.36364537037037,13.8297499999999,29.2473166666667,1.00180364846633,1.00234961306699,1.00670109313911,108,52.4290138888889,42.6964,1.01510951004605,1.01091078479676,36
2025-01-15,6,-34.7554333333333,-76.99765,-24.5512499999998,0.994147922689358,0.982228632323171,0.998212734928674,36,26.4715342592592,33.7476000000001,1.0057530705682,1.0050979008139,108
2025-01-15,12,-19.3777402777778,-5.61324999999988,36.5455499999998,0.996081966502826,0.998979409935922,1.00539235487286,72,41.707325,44.6963000000001,1.00962160069415,1.00840093950029,72
2025-01-15,18,1.15602407407405,28.2752999999998,47.5291166666666,0.999925530632689,1.00445199582468,1.01127111610367,108,41.1910972222222,-5.75924999999984,1.0116305424959,0.998832840122775,36
2025-01-16,6,-17.6293722222222,-35.41785,39.1127833333334,0.996107228239232,0.991065212464506,1.01258479850954,36,-8.50432129629634,-22.33005,0.999865061543471,0.995919112594948,108
2025-01-16,12,-24.3779833333334,-35.41785,-132.688966666667,0.996007831634421,0.993423144737003,0.981244883947775,72,2.80681527777774,-16.2632000000003,1.0018433748004,0.996874455014729,72
2025-01-16,18,-18.8985222222223,-32.0718999999999,-21.819466666667,0.99695129344945,0.99475498014224,0.997116469499366,108,13.5532305555555,-14.3211000000001,1.00484853252129,0.996874455014729,36
