scope,branch,n_rows,q50_pinball_kw,q80_pinball_kw,q50_price_weighted_pinball_yuan,q80_price_weighted_pinball_yuan,q50_mae_kw,q50_rmse_kw,q50_bias_kw,q80_empirical_coverage,q80_mean_bias_kw,raw_crossing_count,raw_crossing_rate,actual_net_kwh_sum,planned_kwh_screen_sum,emergency_kwh_screen_sum,planned_cost_screen_sum,emergency_cost_screen_sum,screen_cost_sum
OVERALL,BASELINE,2448,118.28947130310458,85.22675407026142,14.98249657438913,10.8378461131619,236.57894260620915,336.4632812961678,-6.904527696078428,0.7512254901960784,198.3348411029412,0,0.0,1244802.3292166665,1354342.51992,16932.98709333333,1066781.275360976,65536.77199678833,1132318.047357764
OVERALL,LIGHTGBM,2448,115.53141327872189,84.55761708967897,14.715765747400255,10.68228178526715,231.06282655744377,345.34799398812976,-2.631007131578471,0.7487745098039216,160.51709122951985,19,0.007761437908496732,1244802.3292166665,1339951.7551476506,19792.082835140238,1055312.208118479,77077.3986099718,1132389.6067284509
BLOCK_1,BASELINE,1008,113.77938430059525,80.29458321825395,14.529884295144676,10.411731563408596,227.5587686011905,305.03955863287393,13.754503720238091,0.7420634920634921,204.80552392857146,0,0.0,525302.2375666667,570154.7448799999,5708.450769999998,449703.92440500436,23316.360751283322,473020.2851562877
BLOCK_1,LIGHTGBM,1008,104.2280634744243,71.82889913240184,13.439572853133779,9.414966966931908,208.4561269488486,280.321983504888,50.89701890274424,0.7728174603174603,189.71212255611977,8,0.007936507936507936,525302.2375666667,567161.0668248471,5355.082031078169,446995.0532367494,23019.863418747016,470014.91665549634
BLOCK_2,BASELINE,1008,124.50363350694445,91.97518594047618,15.39231653612682,11.32097082929828,249.0072670138889,371.45309410512016,-38.41265610119046,0.7440476190476191,174.47608962301592,0,0.0,515607.98476666666,555689.77137,9194.062926666666,438018.24727247434,33166.420301153325,471184.66757362767
BLOCK_2,LIGHTGBM,1008,129.88209567082825,103.15464202001486,16.14494082647194,12.590053669530851,259.7641913416565,413.97790979210436,-102.36401157850355,0.6726190476190477,78.35373241481737,7,0.006944444444444444,515607.98476666666,542736.8532003226,13446.804573880258,428041.447312279,49451.97456198049,477493.42187425954
BLOCK_3,BASELINE,432,114.31329583333334,80.98881169444445,15.082345315238236,10.704822391601388,228.62659166666668,320.07417893955477,18.410031944444427,0.7893518518518519,238.90700129629633,0,0.0,203892.10688333333,228498.00367,2030.4733966666674,179059.10368349732,9053.99094435167,188113.094627849
BLOCK_3,LIGHTGBM,432,108.4209705738347,70.86490081920851,14.358807316188093,9.187881964767417,216.8419411476694,304.30366333316334,105.1806091644937,0.8703703703703703,284.10985536842594,4,0.009259259259259259,203892.10688333333,230053.8351224808,990.19623018181,180275.70756945055,4605.560629244297,184881.26819869483
