policy_id,a_kwh,cancellation_cost_yuan,charge_bus_kwh,date,discharge_bus_kwh,effective_issue,emergency_cost_yuan,emergency_kwh,g0_kwh,grid_unused_kwh,grid_used_kwh,increase_cost_yuan,load_kw,physical_interval_end,physical_interval_start,price_yuan_per_kwh,pv_actual_kw,pv_curtailment_kwh,retained_cost_yuan,slot_id,soc_end_kwh,soc_roundoff_adjustment_kwh,soc_start_kwh,total_cost_yuan
P3_MAIN_MEAN_ROLLOUT_061218,506.73475880658043,0,84.70439213991375,2025-02-01,0,2025-02-01T00:00:00,0,0,506.73475880658043,-0,506.73475880658043,0,2532.1822000000002,2025-02-01T00:10:00,2025-02-01T00:00:00,0.42480000000000001,0,0,215.26092554103536,1,9341.4932250000002,0,9265.2592720740777,215.26092554103536
P3_MAIN_MEAN_ROLLOUT_061218,1296.6215166666666,0,833.33333333333337,2025-02-01,0,2025-02-01T00:00:00,0,0,1296.6215166666666,47.880866666666407,1248.7406500000002,0,2492.4439000000002,2025-02-01T00:20:00,2025-02-01T00:10:00,0.42449999999999999,0,0,550.41583382499994,2,10091.493225,0,9341.4932250000002,550.41583382499994
P3_MAIN_MEAN_ROLLOUT_061218,456.85500000000002,0,46.138333333333321,2025-02-01,0,2025-02-01T00:00:00,0,0,456.85500000000002,-0,456.85500000000002,0,2464.3000000000002,2025-02-01T00:30:00,2025-02-01T00:20:00,0.4269,0,0,195.03139950000002,3,10133.017725,0,10091.493225,195.03139950000002
P3_MAIN_MEAN_ROLLOUT_061218,497.27131666666668,0,66.976516666666726,2025-02-01,0,2025-02-01T00:00:00,0,0,497.27131666666668,-0,497.27131666666668,0,2581.7687999999998,2025-02-01T00:40:00,2025-02-01T00:30:00,0.42720000000000002,0,0,212.43430648,4,10193.29659,0,10133.017725,212.43430648
P3_MAIN_MEAN_ROLLOUT_061218,510.45106666666669,0,86.040483333333384,2025-02-01,0,2025-02-01T00:00:00,0,0,510.45106666666669,-0,510.45106666666669,0,2546.4634999999998,2025-02-01T00:50:00,2025-02-01T00:40:00,0.42709999999999998,0,0,218.01365057333334,5,10270.733025,0,10193.29659,218.01365057333334
P3_MAIN_MEAN_ROLLOUT_061218,506.27166666666659,0,100.21999999999991,2025-02-01,0,2025-02-01T00:00:00,0,0,506.27166666666659,-0,506.27166666666659,0,2436.3099999999999,2025-02-01T01:00:00,2025-02-01T00:50:00,0.42849999999999999,0,0,216.93740916666664,6,10360.931025,0,10270.733025,216.93740916666664
P3_MAIN_MEAN_ROLLOUT_061218,513.10508333333337,0,76.354900000000043,2025-02-01,0,2025-02-01T00:00:00,0,0,513.10508333333337,-0,513.10508333333337,0,2620.5011,2025-02-01T01:10:00,2025-02-01T01:00:00,0.43109999999999998,0,0,221.199601425,7,10429.650435,0,10360.931025,221.199601425
P3_MAIN_MEAN_ROLLOUT_061218,509.62021666666664,0,57.822533333333354,2025-02-01,0,2025-02-01T00:00:00,0,0,509.62021666666664,-0,509.62021666666664,0,2710.7860999999998,2025-02-01T01:20:00,2025-02-01T01:10:00,0.43020000000000003,0,0,219.23861721,8,10481.690714999999,0,10429.650435,219.23861721
P3_MAIN_MEAN_ROLLOUT_061218,495.70166666666665,0,49.62166666666667,2025-02-01,0,2025-02-01T00:00:00,0,0,495.70166666666665,-0,495.70166666666665,0,2676.48,2025-02-01T01:30:00,2025-02-01T01:20:00,0.4279,0,0,212.11074316666665,9,10526.350214999999,0,10481.690714999999,212.11074316666665
P3_MAIN_MEAN_ROLLOUT_061218,531.75963333333334,0,59.993300000000033,2025-02-01,0,2025-02-01T00:00:00,0,0,531.75963333333334,-0,531.75963333333334,0,2830.598,2025-02-01T01:40:00,2025-02-01T01:30:00,0.43120000000000003,0,0,229.29475389333336,10,10580.344184999998,0,10526.350214999999,229.29475389333336
