issue_hour,group,n,q00,q10,q25,q50,q75,q90,q100,mean
6,ALL,334,0.0,0.0,45.28422718609363,506.1230821347126,1601.2866351474095,2955.899913426684,35858.74863814361,1410.9234406390383
6,ACCEPTED,270,0.686512110331023,59.955910591050994,296.03517122392986,747.0374157154292,1963.0452639043742,3715.2011816730214,35858.74863814361,1745.3645524942178
6,REJECTED,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,ALL,334,0.0,0.0,134.01499016422076,530.4328065480895,948.3950025005015,1570.099460998093,6808.745848539169,701.6540413068789
12,ACCEPTED,284,0.5146166986123717,113.96531740185893,311.6401362518991,630.3594078252208,1076.356449455303,1663.9356435697114,6808.745848539169,825.1846823820337
12,REJECTED,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,ALL,334,0.0,0.0,0.0,0.0,1.1407251421733235,26.370416361889475,8275.925590707171,74.20664719398516
18,ACCEPTED,104,0.018003706085437443,0.4470413665054367,2.4190145219818078,8.129829583243918,34.590911810784746,418.9811039929174,8275.925590707171,238.31750156529853
18,REJECTED,230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
