policy_id,role,opportunity_hours,days,is_primary,retained_cost_yuan,increase_cost_yuan,cancellation_cost_yuan,emergency_cost_yuan,total_cost_yuan,g0_kwh,a_kwh,grid_used_kwh,grid_unused_kwh,pv_curtailment_kwh,charge_bus_kwh,discharge_bus_kwh,emergency_kwh,initial_quote_yuan,allowed_adjustments,actual_adjustments,rejected_adjustments,emergency_positive_slots,emergency_subthreshold_kwh,emergency_events,unused_normal_price_proxy_yuan,net_contract_change_kwh,revision_absolute_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,raw_saving_vs_main_yuan,endpoint_pressure_yuan,saving_after_endpoint_pressure_yuan
P3_NO_PREFIX_061218,SINGLE_FACTOR_ABLATION,"6,12,18",334,False,13102272.124959927,149436.59501143545,295664.90723014902,280188.81267018628,13827562.439871699,22206006.763202738,21351239.629230917,20467045.057771243,884194.57145966869,1397395.0295537419,6280199.080700364,5093668.9844281608,56069.563021365269,13693601.939420225,1002,582,420,653,6.7638339373843337e-11,176,563272.68545113737,-854767.13397182315,1376905.8837313687,9265.2592720740777,1812.2269822222217,1200,10800,-85790.606233788654,3.5247972442044153e-12,-85790.606233788654
P3_ROBUST_WORST_061218,SINGLE_FACTOR_ABLATION,"6,12,18",334,False,13542207.147972364,105302.3610236387,590252.64188179281,39835.779945334427,14277597.930823129,23602717.684031405,21866508.677504901,20629912.425171509,1236596.2523333943,1540192.6368291664,6128586.2455213368,4970566.8001031829,7489.1520424777791,14722712.431735948,1002,810,192,159,5.657752044641029e-11,85,797097.32821020298,-1736209.0065265005,2307337.8929794123,9265.2592720740777,2140.8801266299697,1200,10800,-535826.09718521871,0,-535826.09718521871
P3_ZERO_TERMINAL_061218,SINGLE_FACTOR_ABLATION,"6,12,18",334,False,13058840.340184789,175291.06476563337,320104.80890176306,190787.03090523454,13745023.244757421,22218815.970606133,21335279.565815315,20483377.029357545,851902.53645777155,1392685.2229671348,6300653.6683922252,5110237.2004585695,38914.156509914646,13699049.957988316,1002,657,345,550,6.503775296096137e-11,174,537252.52076654159,-883536.40479081671,1467022.9104565461,9265.2592720740777,1812.2269822222195,1200,10800,-3251.411119511351,2.1148783465226492e-11,-3251.4111195113724
P3_PARTIAL_ADJUST_MEAN_ROLLOUT_061218,PREDECLARED_EXTENSION,"6,12,18",334,False,13059479.10713248,163554.39998833608,319610.69285329751,210025.8282219409,13752670.028196055,22217993.608185399,21327451.498709951,20480784.916386835,846666.58232311544,1392892.6151275195,6301487.6134096123,5110912.6959226523,41872.111194311336,13698700.492839076,1002,699,303,558,7.028155835087091e-11,175,533560.77328537195,-890542.10947544908,1426459.3526394134,9265.2592720740777,1812.2269822222222,1200,10800,-10898.194558145478,0,-10898.194558145478
