slot_id,source_sheet,source_column,source_cell,raw_time_value,raw_time_type,raw_time_number_format,time_marker_normalized
73,小区负载,BV,BV1,0.50694444444444398,excel_numeric_time_serial,h:mm,12:10
74,小区负载,BW,BW1,0.51388888888888795,excel_numeric_time_serial,h:mm,12:20
75,小区负载,BX,BX1,0.52083333333333304,excel_numeric_time_serial,h:mm,12:30
76,小区负载,BY,BY1,0.52777777777777701,excel_numeric_time_serial,h:mm,12:40
77,小区负载,BZ,BZ1,0.53472222222222199,excel_numeric_time_serial,h:mm,12:50
78,小区负载,CA,CA1,0.54166666666666596,excel_numeric_time_serial,h:mm,13:00
79,小区负载,CB,CB1,0.54861111111111105,excel_numeric_time_serial,h:mm,13:10
80,小区负载,CC,CC1,0.55555555555555503,excel_numeric_time_serial,h:mm,13:20
81,小区负载,CD,CD1,0.5625,excel_numeric_time_serial,h:mm,13:30
82,小区负载,CE,CE1,0.56944444444444398,excel_numeric_time_serial,h:mm,13:40
83,小区负载,CF,CF1,0.57638888888888795,excel_numeric_time_serial,h:mm,13:50
84,小区负载,CG,CG1,0.58333333333333304,excel_numeric_time_serial,h:mm,14:00
85,小区负载,CH,CH1,0.59027777777777701,excel_numeric_time_serial,h:mm,14:10
86,小区负载,CI,CI1,0.59722222222222199,excel_numeric_time_serial,h:mm,14:20
87,小区负载,CJ,CJ1,0.60416666666666596,excel_numeric_time_serial,h:mm,14:30
88,小区负载,CK,CK1,0.61111111111111105,excel_numeric_time_serial,h:mm,14:40
89,小区负载,CL,CL1,0.61805555555555503,excel_numeric_time_serial,h:mm,14:50
90,小区负载,CM,CM1,0.624999999999999,excel_numeric_time_serial,h:mm,15:00
91,小区负载,CN,CN1,0.63194444444444398,excel_numeric_time_serial,h:mm,15:10
92,小区负载,CO,CO1,0.63888888888888795,excel_numeric_time_serial,h:mm,15:20
93,小区负载,CP,CP1,0.64583333333333304,excel_numeric_time_serial,h:mm,15:30
94,小区负载,CQ,CQ1,0.65277777777777701,excel_numeric_time_serial,h:mm,15:40
95,小区负载,CR,CR1,0.65972222222222199,excel_numeric_time_serial,h:mm,15:50
