policy,date,start_slot,end_slot,start_time,end_time,emergency_kwh,slot_count
MAIN,2025-07-04,36,44,5:50,7:20,1471.2279210728132,9
MAIN,2025-07-04,123,128,20:20,21:20,1214.9032716650263,6
MAIN,2025-07-04,130,132,21:30,22:00,163.50151215401343,3
MAIN,2025-07-05,15,33,2:20,5:30,1245.9051954108422,19
MAIN,2025-07-05,36,45,5:50,7:30,1569.0968384146213,10
MAIN,2025-07-05,121,131,20:00,21:50,3384.5287034834178,11
MAIN,2025-07-06,49,58,8:00,9:40,2221.380420946985,10
MAIN,2025-07-06,60,61,9:50,10:10,195.78462166666685,2
MAIN,2025-07-06,114,129,18:50,21:30,7188.13129712277,16
MAIN,2025-07-06,131,131,21:40,21:50,7.072815072047661,1
MAIN,2025-07-07,53,56,8:40,9:20,363.6578186070721,4
MAIN,2025-07-07,114,116,18:50,19:20,184.6914864238288,3
MAIN,2025-07-07,118,121,19:30,20:10,358.2236900242805,4
MAIN,2025-07-07,123,131,20:20,21:50,965.9301677576724,9
MAIN,2025-07-08,114,114,18:50,19:00,25.76450945757472,1
MAIN,2025-07-13,116,116,19:10,19:20,2.745945171793892,1
MAIN,2025-07-16,121,121,20:00,20:10,3.951073299059772,1
MAIN,2025-07-17,121,121,20:00,20:10,14.251476530165403,1
MAIN,2025-07-22,120,120,19:50,20:00,13.289343668909282,1
MAIN,2025-07-23,118,118,19:30,19:40,0.3816207898678385,1
MAIN,2025-07-27,55,57,9:00,9:30,311.49463874744777,3
MAIN,2025-07-27,114,114,18:50,19:00,4.152652287696242,1
MAIN,2025-07-29,114,114,18:50,19:00,28.893863307782794,1
MAIN,2025-08-03,118,120,19:30,20:00,43.86251305668952,3
MAIN,2025-08-04,114,114,18:50,19:00,33.921590076266625,1
MAIN,2025-08-11,115,118,19:00,19:40,73.63736687966491,4
MAIN,2025-08-12,116,117,19:10,19:30,84.52214640945147,2
MAIN,2025-08-12,126,126,20:50,21:00,7.495062146906662,1
MAIN,2025-08-13,114,114,18:50,19:00,12.75219050800797,1
MAIN,2025-08-13,116,117,19:10,19:30,64.3767398808053,2
MAIN,2025-08-14,114,115,18:50,19:10,29.17573231537301,2
MAIN,2025-08-14,124,124,20:30,20:40,41.8847449825347,1
MAIN,2025-08-17,116,118,19:10,19:40,69.07087489049081,3
MAIN,2025-08-18,115,115,19:00,19:10,6.950028747172382,1
MAIN,2025-08-18,120,120,19:50,20:00,16.56914936301075,1
MAIN,2025-08-18,123,124,20:20,20:40,67.61653205935488,2
MAIN,2025-08-19,117,118,19:20,19:40,33.39899189103369,2
MAIN,2025-08-19,121,121,20:00,20:10,28.537258603846794,1
MAIN,2025-08-20,54,57,8:50,9:30,443.2267350593479,4
MAIN,2025-08-20,118,121,19:30,20:10,98.89843974577776,4
MAIN,2025-08-25,117,118,19:20,19:40,44.94666804330837,2
MAIN,2025-08-26,124,124,20:30,20:40,5.643109216662197,1
MAIN,2025-08-27,114,114,18:50,19:00,9.061473640984786,1
MAIN,2025-08-28,114,114,18:50,19:00,34.59171807742382,1
MAIN,2025-08-28,120,120,19:50,20:00,10.120227600498993,1
