policy_id,date,block,time_interval,charge_bus_kwh,discharge_bus_kwh,soc_start_kwh,soc_end_kwh
P3_MAIN_MEAN_ROLLOUT_061218,2025-03-20,1,0:00-4:00,8047.2301213991759,111.47783333333325,2194.9670507407418,9313.6099007407411
P3_MAIN_MEAN_ROLLOUT_061218,2025-03-20,2,4:00-8:00,1765.614357085235,5867.15454814246,9313.6099007407411,4383.602213070274
P3_MAIN_MEAN_ROLLOUT_061218,2025-03-20,3,8:00-12:00,5764.5066325873295,2777.3772166666668,4383.602213070274,6485.6834972136867
P3_MAIN_MEAN_ROLLOUT_061218,2025-03-20,4,12:00-16:00,4695.7206475307958,281.57274393235502,6485.6834972136867,10398.973475622119
P3_MAIN_MEAN_ROLLOUT_061218,2025-03-20,5,16:00-20:00,475.61221952702772,5456.8220925434662,10398.973475622119,4763.8888148148135
P3_MAIN_MEAN_ROLLOUT_061218,2025-03-20,6,20:00-24:00,648.53829999999959,2956.9543166666667,4763.8888148148135,2062.0684885185169
P3_MAIN_MEAN_ROLLOUT_061218,2025-06-21,1,0:00-4:00,1306.6877666666664,6.0046833333333893,4109.1800483333345,5278.5271679629641
P3_MAIN_MEAN_ROLLOUT_061218,2025-06-21,2,4:00-8:00,590.38176527777807,2082.8741240555564,5278.5271679629641,3495.5661744290164
P3_MAIN_MEAN_ROLLOUT_061218,2025-06-21,3,8:00-12:00,8116.0375839677599,0,3495.5661744290164,10800
P3_MAIN_MEAN_ROLLOUT_061218,2025-06-21,4,12:00-16:00,0,0,10800,10800
P3_MAIN_MEAN_ROLLOUT_061218,2025-06-21,5,16:00-20:00,251.72906378600783,4959.2620750000006,10800,5516.2649629629632
P3_MAIN_MEAN_ROLLOUT_061218,2025-06-21,6,20:00-24:00,1976.5829166666663,2485.8965833333332,5516.2649629629632,4533.0822731481485
P3_MAIN_MEAN_ROLLOUT_061218,2025-09-23,1,0:00-4:00,8932.2677530864203,14.226566666666713,1591.5677072222218,9614.801388703705
P3_MAIN_MEAN_ROLLOUT_061218,2025-09-23,2,4:00-8:00,1541.0561059670774,6039.3454500741645,9614.801388703705,4291.368050658336
P3_MAIN_MEAN_ROLLOUT_061218,2025-09-23,3,8:00-12:00,6293.0811000000003,1896.6157166666667,4291.368050658336,7847.7902443620396
P3_MAIN_MEAN_ROLLOUT_061218,2025-09-23,4,12:00-16:00,3778.5354280750998,428.33664998449876,7847.7902443620396,10772.542518535742
P3_MAIN_MEAN_ROLLOUT_061218,2025-09-23,5,16:00-20:00,52.433683108435993,5585.5395666666664,10772.542518535742,4613.5777592592603
P3_MAIN_MEAN_ROLLOUT_061218,2025-09-23,6,20:00-24:00,808.36008333333382,3007.6783833333338,4613.5777592592603,1999.2369638888897
P3_MAIN_MEAN_ROLLOUT_061218,2025-12-21,1,0:00-4:00,8731.2513897119316,66.387083333333294,2050.7989442592616,9835.1617690740713
P3_MAIN_MEAN_ROLLOUT_061218,2025-12-21,2,4:00-8:00,1833.9683018518488,1448.9110652777781,9835.1617690740713,9875.8320570987653
P3_MAIN_MEAN_ROLLOUT_061218,2025-12-21,3,8:00-12:00,6005.1968824129044,6593.4253930555569,9875.8320570987653,7954.481036764204
P3_MAIN_MEAN_ROLLOUT_061218,2025-12-21,4,12:00-16:00,5917.1665486570591,2231.9378375000001,7954.481036764204,10800
P3_MAIN_MEAN_ROLLOUT_061218,2025-12-21,5,16:00-20:00,0,5533.3372666666655,10800,4651.8474814814826
P3_MAIN_MEAN_ROLLOUT_061218,2025-12-21,6,20:00-24:00,692.11033333333194,2842.5257666666666,4651.8474814814826,2116.3848185185193
