date,issue_datetime,issue_hour,accepted,keep_score,selected_score,soc_actual_kwh,forecast_branch,risk,v_score_yuan
2025-03-20,2025-03-20T06:00:00,6,True,38359.016625545788,36569.22782740464,9894.6555555555551,PREFIX,mean,1789.7887981411477
2025-03-20,2025-03-20T12:00:00,12,False,33016.348015361538,33016.348015361538,6485.6834972136867,PREFIX,mean,0.0
2025-03-20,2025-03-20T18:00:00,18,True,19101.559310002933,19073.290681503604,10800,PREFIX,mean,28.26862849932877
2025-06-21,2025-06-21T06:00:00,6,False,24781.908841533765,24781.908841533765,4379.3674049845713,PREFIX,mean,0.0
2025-06-21,2025-06-21T12:00:00,12,False,29107.202507822734,29107.202507822734,10800,PREFIX,mean,0.0
2025-06-21,2025-06-21T18:00:00,18,False,37667.103444018001,37667.103444018001,10800,PREFIX,mean,0.0
2025-09-23,2025-09-23T06:00:00,6,True,41934.806933680949,41395.092394832223,9921.5296296296292,PREFIX,mean,539.7145388487261
2025-09-23,2025-09-23T12:00:00,12,True,44180.907716123664,43294.756258251509,7847.7902443620396,PREFIX,mean,886.1514578721544
2025-09-23,2025-09-23T18:00:00,18,False,38579.622114024547,38579.622114024547,10800,PREFIX,mean,0.0
2025-12-21,2025-12-21T06:00:00,6,True,60602.643261532859,60277.507093819069,10800,PREFIX,mean,325.1361677137902
2025-12-21,2025-12-21T12:00:00,12,True,64128.60406643914,63978.527644104048,7954.481036764204,PREFIX,mean,150.0764223350925
2025-12-21,2025-12-21T18:00:00,18,False,61886.346493056059,61886.346493056059,10800,PREFIX,mean,0.0
