policy_id,date,retained_cost_yuan,increase_cost_yuan,cancellation_cost_yuan,emergency_cost_yuan,total_cost_yuan,g0_kwh,a_kwh,grid_used_kwh,grid_unused_kwh,pv_curtailment_kwh,charge_bus_kwh,discharge_bus_kwh,emergency_kwh,initial_quote_yuan,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,allowed_adjustments,actual_adjustments,rejected_adjustments,emergency_positive_slots,emergency_subthreshold_kwh,unused_normal_price_proxy_yuan,net_contract_change_kwh,revision_absolute_kwh,emergency_events
P3_MAIN_MEAN_ROLLOUT_061218,2025-03-20,40772.45985720717,325.74051205093241,1964.2007946967951,4.1346766010974534e-12,43062.401163954906,72396.840888100138,66873.378699961017,66154.825343511286,718.55335644974059,0,21397.222278129564,17451.358751284948,1.2505552149377763e-12,44700.861446600771,2194.9670507407418,2062.0684885185169,1297.6275278850894,10800,3,2,1,0,1.2505552149377763e-12,440.7686720402296,-5523.4621881391131,6120.9153306951748,0
P3_MAIN_MEAN_ROLLOUT_061218,2025-06-21,22205.031073960072,0,0,0,22205.031073960072,36620.975069000007,36620.975069000007,34540.916246674897,2080.0588223251038,12498.794216032242,12241.419096364878,9534.0374657222237,0,22205.031073960072,4109.1800483333345,4533.0822731481485,2754.1576481481488,10800,3,0,3,0,0,1952.8818826139259,0,0,0
P3_MAIN_MEAN_ROLLOUT_061218,2025-09-23,44067.035959144123,0,1431.0989443269061,42.996187500000701,45541.13109097103,75017.096038665986,70050.207839703769,67254.911881825436,2795.2959578783293,710.67947831372976,21405.734153570367,16971.742333391998,6.3750000000001705,46929.233847797936,1591.5677072222218,1999.2369638888897,1340.3648970370375,10800,3,2,1,1,1.7053025658242404e-13,1647.584041459977,-4966.8881989622205,4988.7291105673103,1
P3_MAIN_MEAN_ROLLOUT_061218,2025-12-21,64204.300866231628,0,569.47213541796555,1.583146058692364e-12,64773.773001649592,101050.48387129631,99025.180273868085,93500.950910133732,5524.2293637343482,0,23179.693455967077,18716.524412500003,3.4106051316484809e-13,65343.245137067555,2050.7989442592616,2116.3848185185193,1493.4855185185202,10800,3,2,1,0,3.4106051316484809e-13,3536.9578837416739,-2025.3035974282047,2657.3948962764484,0
