forecast_branch,issue_hour,horizon_class,daylight,lead_hour,variable,sample_count,unavailable_count,mae_kw,rmse_kw,bias_kw,scope
NO_PREFIX,0,当日剩余,白昼,14,LOAD,2148,0,173.53723277467412,234.71165242690049,4.5912897579143364,发行—目标重叠记录，非独立样本
NO_PREFIX,0,当日剩余,白昼,14,PV,2148,0,586.60936797796398,734.37328170164801,-53.350540502793613,发行—目标重叠记录，非独立样本
NO_PREFIX,0,当日剩余,白昼,15,LOAD,2148,0,177.7624731378026,249.65152751368191,4.3207109404096746,发行—目标重叠记录，非独立样本
NO_PREFIX,0,当日剩余,白昼,15,PV,2148,0,547.21609180633141,678.23956533568469,-2.8907117318437927,发行—目标重叠记录，非独立样本
NO_PREFIX,0,当日剩余,白昼,16,LOAD,2148,0,178.59855176908749,250.09751095307607,3.6226704841713024,发行—目标重叠记录，非独立样本
NO_PREFIX,0,当日剩余,白昼,16,PV,2148,0,423.02194734636868,530.36105698583196,51.184524162011066,发行—目标重叠记录，非独立样本
NO_PREFIX,0,当日剩余,白昼,17,LOAD,2148,0,184.14891340782123,261.42734301194764,3.0175351024208386,发行—目标重叠记录，非独立样本
NO_PREFIX,0,当日剩余,白昼,17,PV,2148,0,285.40682375853504,355.16634889148759,112.25150032588448,发行—目标重叠记录，非独立样本
NO_PREFIX,0,当日剩余,白昼,18,LOAD,2148,0,190.92145465549345,268.37802964538923,2.4998164804469125,发行—目标重叠记录，非独立样本
NO_PREFIX,0,当日剩余,白昼,18,PV,2148,0,191.93021721756671,244.94333379766618,152.20967635009305,发行—目标重叠记录，非独立样本
NO_PREFIX,6,当日剩余,夜间,13,LOAD,2148,0,188.09524981378027,266.76245766778027,1.8534943202979559,发行—目标重叠记录，非独立样本
NO_PREFIX,6,当日剩余,夜间,13,PV,2148,0,87.671730074487883,143.8182839802509,87.315113547486021,发行—目标重叠记录，非独立样本
NO_PREFIX,6,当日剩余,夜间,14,LOAD,2148,0,184.00216894785845,258.65429088613104,2.0153396182495391,发行—目标重叠记录，非独立样本
NO_PREFIX,6,当日剩余,夜间,14,PV,2148,0,0.23173726722532589,0.86867685964954677,-0.010714804469273743,发行—目标重叠记录，非独立样本
NO_PREFIX,6,当日剩余,夜间,15,LOAD,2148,0,190.08709278398513,269.44913853685784,1.9999589851024171,发行—目标重叠记录，非独立样本
NO_PREFIX,6,当日剩余,夜间,15,PV,2148,0,0.00075465549348230907,0.0034714316915109848,-0.00075465549348230907,发行—目标重叠记录，非独立样本
