policy_id,role,opportunity_hours,days,is_primary,retained_cost_yuan,increase_cost_yuan,cancellation_cost_yuan,emergency_cost_yuan,total_cost_yuan,g0_kwh,a_kwh,grid_used_kwh,grid_unused_kwh,pv_curtailment_kwh,charge_bus_kwh,discharge_bus_kwh,emergency_kwh,initial_quote_yuan,allowed_adjustments,actual_adjustments,rejected_adjustments,emergency_positive_slots,emergency_subthreshold_kwh,emergency_events,unused_normal_price_proxy_yuan,net_contract_change_kwh,revision_absolute_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,raw_saving_vs_main_yuan,endpoint_pressure_yuan,saving_after_endpoint_pressure_yuan
P3_MEAN_ROLLOUT_NONE,OPPORTUNITY_ABLATION,无,334,False,13696709.757978531,0,0,519440.28905304923,14216150.047031581,22213229.11231257,22213229.11231257,20557065.46996364,1656163.6423489302,1539266.8516592216,6206332.9625916295,5033837.4287600862,93886.41049379413,13696709.757978532,0,0,0,754,6.4588334680593107e-11,191,1003390.4523074173,0,0,9265.2592720740777,1812.2269822222222,1200,10800,-474378.21339367144,0,-474378.21339367144
P3_MEAN_ROLLOUT_06,OPPORTUNITY_ABLATION,6,334,False,13302966.993812161,223509.03762542957,197501.34427803574,253610.08600847813,13977587.461724102,22216285.152998805,21841329.012115993,20573009.301391974,1268319.710724015,1492568.9582623155,6291343.0671019368,5102695.6134134354,47396.605525510924,13697969.682368232,334,270,64,550,6.2657434796165035e-11,180,776028.41278833454,-374956.14088281931,797176.34978487273,9265.2592720740777,1812.2269822222222,1200,10800,-235815.62808619253,0,-235815.62808619253
P3_MEAN_ROLLOUT_12,OPPORTUNITY_ABLATION,12,334,False,13195636.173529206,100166.09086255102,250339.81511353204,334611.35916771833,13880753.438673008,22212413.130668391,21464772.147282358,20515991.103784308,948781.04349804996,1464826.6524137333,6226583.7866738196,5050240.5962666608,64368.234003252539,13696315.803756271,334,295,39,651,6.7432281980472908e-11,177,585592.83921079501,-747640.98338603321,923197.54679774656,9265.2592720740777,1812.2269822222222,1200,10800,-138981.60503509827,0,-138981.60503509827
P3_MEAN_ROLLOUT_18,OPPORTUNITY_ABLATION,18,334,False,13677204.463952806,88445.922860087638,12127.409673887169,250307.67674495874,14028085.47323174,22224415.558649685,22252687.310246021,20600457.421127088,1652229.8891189301,1538505.1496247677,6214712.814403004,5040625.1087272996,51324.929140048873,13701459.283300582,334,107,227,611,6.4588334680593107e-11,182,998117.92511650617,28271.751596336078,67489.200947961159,9265.2592720740777,1812.2269822222222,1200,10800,-286313.63959383033,0,-286313.63959383033
P3_MEAN_ROLLOUT_0612,OPPORTUNITY_ABLATION,"6,12",334,False,13063662.926486772,154730.1838992468,316373.13307247718,266484.72161615547,13801250.965074651,22212624.236655407,21324101.530977886,20470989.978409428,853111.55256845546,1392871.5592263059,6295741.9729134394,5106258.7271207534,50554.321576230905,13696409.192631727,668,554,114,575,6.6785688090931217e-11,168,539270.32313426584,-888522.70567752304,1449088.0660399185,9265.2592720740777,1812.2269822222222,1200,10800,-59479.13143674098,0,-59479.13143674098
P3_MEAN_ROLLOUT_0618,OPPORTUNITY_ABLATION,"6,18",334,False,13300159.414905515,243110.87413953361,199814.83778778574,182737.94844685314,13925823.075279688,22220532.190379441,21850858.491930582,20583699.757715605,1267158.7342149769,1492576.5361053252,6293849.4322512485,5104725.769184378,37189.936423257583,13699789.090481088,668,389,279,534,6.2728489069741045e-11,173,774565.46758247085,-369673.69844885776,819929.94066883926,9265.2592720740777,1812.2269822222222,1200,10800,-184051.2416417785,0,-184051.2416417785
P3_MEAN_ROLLOUT_1218,OPPORTUNITY_ABLATION,"12,18",334,False,13189865.87455651,122821.28762592195,254665.13492590893,253845.18934397365,13821197.486452315,22219155.003200248,21476270.358924206,20529156.06072076,947114.29820344434,1464617.1014187196,6231374.5748232864,5054121.1346677281,51903.975820183019,13699196.144408327,668,395,273,624,6.6892269501295232e-11,184,583388.3158896534,-742884.64427604107,944745.62763116974,9265.2592720740777,1812.2269822222222,1200,10800,-79425.652814405039,0,-79425.652814405039
P3_MAIN_MEAN_ROLLOUT_061218,PRIMARY,"6,12,18",334,True,13058408.059413992,177115.23799251666,320320.94928716117,185927.58694423895,13741771.83363791,22218815.970606133,21335764.508569665,20484334.05551606,851430.45305360481,1392685.2229671348,6300592.1353786141,5110187.358717544,37945.439078811847,13699049.957988316,1002,658,344,546,6.6330940740044753e-11,174,537058.35286240792,-883051.46203646681,1470357.2319240081,9265.2592720740777,1812.2269822222222,1200,10800,0,0,0
