branch,sample_count,mae_kw,rmse_kw,bias_kw,scope
NO_PREFIX,77328,180.74210942090835,251.80484567786618,2.9239091183012578,"2025-01-08..12-31, issue 6/12/18, 当日剩余, 重叠发行-目标记录"
PREFIX,77328,167.68891347437977,222.07085632754246,-2.7809325857354388,"2025-01-08..12-31, issue 6/12/18, 当日剩余, 重叠发行-目标记录"
