方案,全天购电量_kWh,全天购电费_元,全天充电量_kWh,全天放电量_kWh,全天弃光量_kWh,相对基准节省_元,相对基准节省率
无储能基准,61789.9354000000,48052.0465908467,0.0000000000,0.0000000000,6247.9629666667,0.0000000000,0.0000000000
主口径连续LP,59482.6989983539,35126.9485892896,20740.6661316872,16799.9395666667,0.0000000000,12925.0980015570,0.2689812176
