峰谷类型,slot_id,time_mark,日期数,占比
光伏最大,22,3:40,0,0.0
光伏最大,23,3:50,0,0.0
光伏最大,24,4:00,0,0.0
光伏最大,25,4:10,0,0.0
光伏最大,26,4:20,0,0.0
光伏最大,27,4:30,0,0.0
光伏最大,28,4:40,0,0.0
光伏最大,29,4:50,0,0.0
光伏最大,30,5:00,0,0.0
光伏最大,31,5:10,0,0.0
光伏最大,32,5:20,0,0.0
光伏最大,33,5:30,0,0.0
光伏最大,34,5:40,0,0.0
光伏最大,35,5:50,0,0.0
光伏最大,36,6:00,0,0.0
光伏最大,37,6:10,0,0.0
光伏最大,38,6:20,0,0.0
光伏最大,39,6:30,0,0.0
光伏最大,40,6:40,0,0.0
光伏最大,41,6:50,0,0.0
光伏最大,42,7:00,0,0.0
光伏最大,43,7:10,0,0.0
光伏最大,44,7:20,0,0.0
光伏最大,45,7:30,0,0.0
光伏最大,46,7:40,0,0.0
光伏最大,47,7:50,0,0.0
光伏最大,48,8:00,0,0.0
光伏最大,49,8:10,0,0.0
光伏最大,50,8:20,0,0.0
光伏最大,51,8:30,0,0.0
光伏最大,52,8:40,0,0.0
光伏最大,53,8:50,0,0.0
光伏最大,54,9:00,0,0.0
光伏最大,55,9:10,0,0.0
光伏最大,56,9:20,0,0.0
光伏最大,57,9:30,0,0.0
光伏最大,58,9:40,0,0.0
光伏最大,59,9:50,0,0.0
光伏最大,60,10:00,0,0.0
光伏最大,61,10:10,0,0.0
光伏最大,62,10:20,0,0.0
光伏最大,63,10:30,1,0.0027397260273972603
光伏最大,64,10:40,3,0.00821917808219178
光伏最大,65,10:50,7,0.019178082191780823
光伏最大,66,11:00,12,0.03287671232876712
光伏最大,67,11:10,21,0.057534246575342465
光伏最大,68,11:20,17,0.04657534246575343
光伏最大,69,11:30,26,0.07123287671232877
光伏最大,70,11:40,36,0.09863013698630137
光伏最大,71,11:50,38,0.10410958904109589
光伏最大,72,12:00,33,0.09041095890410959
光伏最大,73,12:10,42,0.11506849315068493
光伏最大,74,12:20,37,0.10136986301369863
光伏最大,75,12:30,30,0.0821917808219178
光伏最大,76,12:40,20,0.0547945205479452
光伏最大,77,12:50,13,0.03561643835616438
光伏最大,78,13:00,17,0.04657534246575343
光伏最大,79,13:10,7,0.019178082191780823
光伏最大,80,13:20,3,0.00821917808219178
光伏最大,81,13:30,1,0.0027397260273972603
光伏最大,82,13:40,1,0.0027397260273972603
光伏最大,83,13:50,0,0.0
光伏最大,84,14:00,0,0.0
光伏最大,85,14:10,0,0.0
光伏最大,86,14:20,0,0.0
光伏最大,87,14:30,0,0.0
光伏最大,88,14:40,0,0.0
光伏最大,89,14:50,0,0.0
光伏最大,90,15:00,0,0.0
光伏最大,91,15:10,0,0.0
光伏最大,92,15:20,0,0.0
光伏最大,93,15:30,0,0.0
光伏最大,94,15:40,0,0.0
光伏最大,95,15:50,0,0.0
光伏最大,96,16:00,0,0.0
光伏最大,97,16:10,0,0.0
光伏最大,98,16:20,0,0.0
光伏最大,99,16:30,0,0.0
光伏最大,100,16:40,0,0.0
光伏最大,101,16:50,0,0.0
光伏最大,102,17:00,0,0.0
光伏最大,103,17:10,0,0.0
光伏最大,104,17:20,0,0.0
光伏最大,105,17:30,0,0.0
光伏最大,106,17:40,0,0.0
光伏最大,107,17:50,0,0.0
光伏最大,108,18:00,0,0.0
光伏最大,109,18:10,0,0.0
光伏最大,110,18:20,0,0.0
光伏最大,111,18:30,0,0.0
光伏最大,112,18:40,0,0.0
光伏最大,113,18:50,0,0.0
光伏最大,114,19:00,0,0.0
光伏最大,115,19:10,0,0.0
光伏最大,116,19:20,0,0.0
光伏最大,117,19:30,0,0.0
光伏最大,118,19:40,0,0.0
光伏最大,119,19:50,0,0.0
光伏最大,120,20:00,0,0.0
光伏最大,121,20:10,0,0.0
光伏最大,122,20:20,0,0.0
光伏最大,123,20:30,0,0.0
光伏最大,124,20:40,0,0.0
光伏最大,125,20:50,0,0.0
光伏最大,126,21:00,0,0.0
光伏最大,127,21:10,0,0.0
光伏最大,128,21:20,0,0.0
光伏最大,129,21:30,0,0.0
光伏最大,130,21:40,0,0.0
光伏最大,131,21:50,0,0.0
光伏最大,132,22:00,0,0.0
光伏最大,133,22:10,0,0.0
光伏最大,134,22:20,0,0.0
光伏最大,135,22:30,0,0.0
光伏最大,136,22:40,0,0.0
光伏最大,137,22:50,0,0.0
光伏最大,138,23:00,0,0.0
光伏最大,139,23:10,0,0.0
光伏最大,140,23:20,0,0.0
光伏最大,141,23:30,0,0.0
光伏最大,142,23:40,0,0.0
光伏最大,143,23:50,0,0.0
光伏最大,144,0:00+1,0,0.0
净负荷最大,1,0:10,0,0.0
净负荷最大,2,0:20,0,0.0
净负荷最大,3,0:30,0,0.0
净负荷最大,4,0:40,0,0.0
净负荷最大,5,0:50,0,0.0
净负荷最大,6,1:00,0,0.0
净负荷最大,7,1:10,0,0.0
净负荷最大,8,1:20,0,0.0
净负荷最大,9,1:30,0,0.0
净负荷最大,10,1:40,0,0.0
净负荷最大,11,1:50,0,0.0
净负荷最大,12,2:00,0,0.0
净负荷最大,13,2:10,0,0.0
净负荷最大,14,2:20,0,0.0
