decision_date,selected_branch,score_n_days,loss_B,loss_M,screen_cost_B,screen_cost_M,mae50_B,mae50_M,month
2025-03-12,LIGHTGBM,28,10.957583778843418,10.065256979106094,1536280.6329663554,1523759.4406678674,242.57096297123016,226.57428242489792,2025-03
2025-03-13,LIGHTGBM,28,10.995876487856398,10.094447217502005,1527129.6791572329,1514356.1599217206,242.63448303571428,225.74808028402816,2025-03
2025-03-14,LIGHTGBM,28,11.41162275384279,10.366022432122127,1525724.9423554274,1512357.930597043,248.3993292410714,224.59709231649117,2025-03
2025-03-15,LIGHTGBM,28,11.387662118116602,10.327481808011324,1521240.8224407595,1507769.8174822214,250.94517602926584,226.7354634126868,2025-03
2025-03-16,LIGHTGBM,28,11.709989683957954,10.355197771090513,1516959.8255651137,1503391.8422612876,257.4724662698413,227.83054375696992,2025-03
2025-03-17,LIGHTGBM,28,11.861840061515426,10.42363404283507,1510082.1535005297,1494871.3412820636,260.7905341765873,231.0715121359946,2025-03
2025-03-18,LIGHTGBM,28,11.914907357659292,10.554195802507625,1501564.2415168397,1487281.676248256,260.9328933531746,233.6041619277089,2025-03
2025-03-19,LIGHTGBM,28,12.23949896156392,10.780882361923474,1500073.5328370444,1484509.5718633817,264.39769753224203,235.6425099074562,2025-03
2025-03-20,LIGHTGBM,28,12.233645186225594,10.844250728582711,1490629.1350211385,1475494.0700193436,262.4684015749008,235.7840343997884,2025-03
2025-03-21,LIGHTGBM,28,12.207451976788043,10.939745434092982,1483903.112376698,1470507.3897106876,262.7696684399802,236.64415250255144,2025-03
2025-03-22,LIGHTGBM,28,12.368093631564664,11.083673656217314,1480898.9438834148,1467006.8043673136,265.5157766989088,240.99691917197583,2025-03
2025-03-23,LIGHTGBM,28,12.55244164232381,11.19735390244532,1476771.4370438796,1463195.3934940628,269.1659378472222,243.00811474255397,2025-03
2025-03-24,LIGHTGBM,28,12.663275399191056,11.36238613125707,1469771.1289743478,1456678.2216266738,271.7309795634921,245.46633067417645,2025-03
2025-03-25,LIGHTGBM,28,12.85702180182012,11.483926883273552,1464649.819707414,1451358.9458067804,273.45691898561506,248.39772732704495,2025-03
2025-03-26,LIGHTGBM,28,13.038162966812036,11.489123262378596,1461720.6690935614,1447500.6286140531,277.6048528769841,247.61357623549787,2025-03
2025-03-27,LIGHTGBM,28,13.18062318003654,11.487605182207584,1455686.2117091117,1440563.4917796797,279.7996556423612,247.6574131404884,2025-03
2025-03-28,LIGHTGBM,28,13.147430208840872,11.47026166789334,1446447.475045234,1432736.1165616608,281.2718047247024,247.5044644486376,2025-03
2025-03-29,LIGHTGBM,28,13.146364190021394,11.43973144803612,1443769.0251853643,1430003.3526204424,280.03398936011905,248.202288340124,2025-03
2025-03-30,LIGHTGBM,28,12.981550402539831,11.497489888482436,1439320.8027561682,1426049.6223745644,276.64656892361114,250.65335628351625,2025-03
2025-03-31,LIGHTGBM,28,12.7580425312188,11.110334088746647,1424130.0184353827,1409073.0439313145,273.1773149429564,245.75120460835785,2025-03
2025-04-01,LIGHTGBM,28,12.81759661500362,11.139994275317584,1411471.8037513483,1396504.4610649464,273.7805261160715,245.53447555635935,2025-04
2025-04-02,LIGHTGBM,28,12.810905978206696,11.269461389839412,1401593.3853631732,1387435.6035247827,275.14312465277783,247.8584383833217,2025-04
2025-04-03,LIGHTGBM,28,12.979261062433627,11.552965260552206,1399920.4153835117,1388006.3617538484,275.9739014012897,249.5754958939017,2025-04
2025-04-04,LIGHTGBM,28,13.145247590981183,11.639643128120955,1395031.998334964,1382031.7075908473,281.3475055555556,252.58117792930796,2025-04
2025-04-05,LIGHTGBM,28,13.296542235011096,11.768996322750915,1392928.3240528607,1379301.9556925944,283.549995436508,253.7048721109392,2025-04
2025-04-06,LIGHTGBM,28,13.647386204430523,12.245425434976376,1390464.6184134325,1376510.1213284684,287.9274290674603,258.3816923037054,2025-04
2025-04-07,LIGHTGBM,28,13.803872646873211,12.27292024488031,1386677.743439946,1371190.616046636,289.62167962549603,259.0136658110192,2025-04
2025-04-08,LIGHTGBM,28,13.647954645836194,12.206275501497894,1378015.915042811,1362751.7454954078,287.0877232886904,258.8379354291651,2025-04
2025-04-09,LIGHTGBM,28,13.90495106916078,12.389329335788936,1375868.869075875,1359756.7391229244,290.6531395585318,262.5344111393176,2025-04
2025-04-10,LIGHTGBM,28,14.132692592220172,12.511204190743683,1373068.3836368334,1356648.0121933287,297.1854312872024,265.6627400534801,2025-04
2025-04-11,LIGHTGBM,28,13.786136817594594,12.210755048510626,1363045.619089519,1346577.7899118925,294.98646024305555,265.07793454493674,2025-04
2025-04-12,LIGHTGBM,28,13.758058170690823,12.249463390823324,1361472.3432346429,1345058.0480544344,292.5466354910714,264.47306622125035,2025-04
2025-04-13,LIGHTGBM,28,13.60960414577032,12.29900355954344,1358032.306790253,1341865.4739033417,290.50452078373013,264.6372886454542,2025-04
2025-04-14,LIGHTGBM,28,13.597207430763095,12.296313169412109,1352518.2276327598,1337138.539275654,288.7834755828373,263.0960530842762,2025-04
2025-04-15,LIGHTGBM,28,13.56990569323001,12.181831881069396,1348305.583660239,1332063.3582792804,287.6564856026786,258.48204299059245,2025-04
2025-04-16,LIGHTGBM,28,13.38085921358416,12.150224482265957,1337938.7805336216,1323283.994917848,288.8102734375,261.9825589763513,2025-04
2025-04-17,LIGHTGBM,28,13.7698109532273,12.154997258204284,1334848.6518925114,1319167.7148039294,295.93528046875,262.7422624938629,2025-04
2025-04-18,LIGHTGBM,28,13.8122493954624,12.019633487680183,1328944.9686367738,1310946.4699976477,295.41666273561503,261.2160554674928,2025-04
2025-04-19,LIGHTGBM,28,13.763992264888644,11.944891789173964,1326150.578141466,1308085.461202865,294.5982229662698,256.4627443269709,2025-04
2025-04-20,LIGHTGBM,28,13.698873861070188,11.996349777197109,1324014.0470722427,1305467.5784968345,291.7078055679563,256.16366228459793,2025-04
2025-04-21,LIGHTGBM,28,13.656043349530622,11.89536649085758,1319314.1986347274,1300384.2358280425,290.8556668030754,254.02060532269425,2025-04
2025-04-22,LIGHTGBM,28,13.58551155144031,11.894516943766442,1313676.2380035403,1295100.5561752347,292.2816877852182,253.1557890416282,2025-04
2025-04-23,LIGHTGBM,28,13.597040086313626,11.89391673278008,1307053.5767911894,1288862.6947684777,292.90164987599206,254.045159044188,2025-04
2025-04-24,LIGHTGBM,28,13.495752097979102,11.876520020662214,1302192.4704148774,1284402.4961589377,288.9034417534722,252.74560807393175,2025-04
2025-04-25,LIGHTGBM,28,13.543965256866136,11.952552698634046,1296505.419045545,1278329.2688708776,289.3159028893849,254.61819816995137,2025-04
2025-04-26,LIGHTGBM,28,13.427715123179595,11.826923084257766,1292399.0110266495,1274342.6535587606,288.5627813864087,252.27340146078504,2025-04
2025-04-27,LIGHTGBM,28,13.694999859024438,11.872314068635962,1290960.4191912669,1272382.7246510389,296.17029102182545,255.63332965895023,2025-04
2025-04-28,LIGHTGBM,28,13.63745211133927,11.884966760723408,1287026.633413555,1268913.4871727386,295.7860700396825,255.01310692690407,2025-04
2025-04-29,LIGHTGBM,28,13.91309915231247,12.214287104528315,1287004.958269795,1269197.8383913685,301.8873123387897,260.1793800414081,2025-04
2025-04-30,LIGHTGBM,28,14.186146840614072,12.206082343236467,1284841.1132012592,1265206.444029008,307.61368549107146,261.4719415328918,2025-04
2025-05-01,LIGHTGBM,28,14.109408297303508,11.950976693422216,1273926.6562997815,1252463.2637835965,308.76849393601185,259.7215262251569,2025-05
2025-05-02,LIGHTGBM,28,14.48281060964881,12.353348266384137,1280433.3643445168,1260005.7557539353,311.0545946676587,262.497592940734,2025-05
2025-05-03,LIGHTGBM,28,15.039314042703277,12.874324417621498,1286484.7581087155,1267203.6100439914,320.8985251736111,268.3381834513696,2025-05
2025-05-04,LIGHTGBM,28,15.111816151692349,12.605220608532717,1291678.241320327,1273368.916612723,320.99520305059525,264.7119943869872,2025-05
2025-05-05,LIGHTGBM,28,15.366037513374604,12.930598575074969,1294772.1890706727,1277563.574129181,324.64777713293654,268.0722469568735,2025-05
2025-05-06,LIGHTGBM,28,15.8521357141608,13.440343367705587,1305783.8195043188,1290198.8387864851,330.9859521205357,273.0330563414876,2025-05
2025-05-07,LIGHTGBM,28,15.845197757454317,13.575434841381613,1306469.2091371608,1293827.9996906258,328.5899253596229,273.09898764632044,2025-05
2025-05-08,LIGHTGBM,28,15.917406939995338,13.639379610041653,1311776.8359656176,1296126.060383279,328.27173520585313,273.5956003900751,2025-05
2025-05-09,LIGHTGBM,28,15.88948057148813,13.783376835270206,1312406.060203852,1298045.21526086,326.9830621527778,274.7581873773686,2025-05
2025-05-10,LIGHTGBM,28,15.873976512365742,13.746809933395731,1313353.8157270085,1299355.6940655902,326.1965751488096,274.197987878296,2025-05
2025-05-11,LIGHTGBM,28,15.87052326617841,13.85137496213,1316038.482543088,1302210.3152626303,325.15339120783733,276.2454344810438,2025-05
2025-05-12,LIGHTGBM,28,15.966810956745784,13.948512715710224,1318155.9295489034,1304053.0271850366,327.32828705357144,278.3144140432238,2025-05
2025-05-13,LIGHTGBM,28,16.207257796030394,14.20143581437726,1320265.7058464077,1305858.465852318,334.5356758680556,283.0844274925032,2025-05
2025-05-14,LIGHTGBM,28,16.332883513598546,14.19325436482756,1323163.2129600826,1308679.0483427504,335.05782705853176,280.858388091968,2025-05
2025-05-15,LIGHTGBM,28,16.06646181592176,14.194136129082274,1323115.547669082,1309137.6937618654,330.6466662698412,280.84162708870343,2025-05
2025-05-16,LIGHTGBM,28,16.208146661634938,14.363890175728493,1326145.897778347,1312664.5963575589,332.5806626736112,283.14497796072254,2025-05
2025-05-17,LIGHTGBM,28,16.38700136293861,14.538301525314532,1328018.756820856,1314787.7310830513,334.8255907118056,289.94564761005773,2025-05
2025-05-18,LIGHTGBM,28,16.592643866103455,14.540189983533304,1329734.7465137662,1317139.7338284615,341.13786261160715,291.26010997323044,2025-05
2025-05-19,LIGHTGBM,28,16.88981652371098,14.803038446800862,1334404.7251988996,1320711.2503593173,346.6385754092262,295.0338799599426,2025-05
2025-05-20,LIGHTGBM,28,17.002422400495373,14.911711032179884,1335177.9539335095,1321954.7810634663,349.3736350074405,298.46607830672696,2025-05
2025-05-21,LIGHTGBM,28,17.276709043329216,15.102468266015215,1337410.7538700951,1323658.5702677094,353.2168930803571,300.03600648247544,2025-05
2025-05-22,LIGHTGBM,28,17.421992801504878,15.24210672974264,1339230.8786266926,1325279.49438181,358.0631288566468,302.97260236458106,2025-05
2025-05-23,LIGHTGBM,28,17.406647279990413,15.204959143681291,1342272.1447021323,1327507.9343778947,358.22292678571426,302.0278742672495,2025-05
2025-05-24,LIGHTGBM,28,17.50921035674679,15.30556060202684,1345619.3036981935,1330686.9593369998,358.66612008928576,303.4701598493926,2025-05
2025-05-25,LIGHTGBM,28,17.402712243365958,15.282656204018124,1347425.2016822265,1332412.8288865224,355.98389449404766,300.01925298484434,2025-05
2025-05-26,LIGHTGBM,28,17.437907807968205,15.424459728392822,1347998.664805704,1333605.239376583,357.04816697668645,302.0666302287143,2025-05
2025-05-27,LIGHTGBM,28,17.348254980077595,15.207204190163996,1348170.674907615,1333006.0189410397,355.00269107142856,299.81925786917407,2025-05
2025-05-28,LIGHTGBM,28,17.226997742521956,15.099099111166352,1348460.437401632,1333369.9798938106,351.033783172123,296.8228439169521,2025-05
2025-05-29,LIGHTGBM,28,17.2874954964771,15.108036049832824,1351021.5060428227,1335707.8719157856,351.9976151785714,297.60008497250504,2025-05
2025-05-30,LIGHTGBM,28,16.765913215973626,14.590977379689296,1341009.8587792548,1325624.1959795435,345.97188350694444,292.58420123089326,2025-05
2025-05-31,LIGHTGBM,28,16.26631186321923,14.113419251796133,1335151.116012808,1319136.322415974,339.1651580233135,288.345545917393,2025-05
2025-06-01,LIGHTGBM,28,15.983678878824271,13.888957547789849,1330972.5128913212,1314008.7291644083,338.1750195436508,288.4312955500143,2025-06
2025-06-02,LIGHTGBM,28,16.880777118195383,15.208744338097963,1354698.954916329,1342527.4414414326,352.0774864335317,304.838505510997,2025-06
2025-06-03,LIGHTGBM,28,17.171917796519658,15.885429072039909,1371045.252980769,1364584.3380352005,360.1418965401785,314.08028821795324,2025-06
2025-06-04,LIGHTGBM,28,17.38169764089744,16.106112159242105,1383910.5460631894,1377322.2884780737,365.7440999627976,315.73966479024125,2025-06
2025-06-05,LIGHTGBM,28,17.705662346346905,16.276399165690076,1396607.2683900408,1386356.1931426292,372.1887350074404,318.54805468383955,2025-06
2025-06-06,LIGHTGBM,28,18.092696083701146,16.20716065460096,1415198.9830814905,1396850.99320397,377.5966576140873,317.74871627623486,2025-06
2025-06-07,LIGHTGBM,28,18.79265197358674,16.641424076338687,1435237.16449374,1407414.675706766,388.5151384672619,324.36637730557453,2025-06
2025-06-08,LIGHTGBM,28,18.977625096352696,17.29718160940388,1445868.722924177,1423805.2188322153,392.4047458333333,332.8811629851474,2025-06
2025-06-09,LIGHTGBM,28,19.39884235410744,17.49365526840947,1460487.1472096606,1433531.073611734,401.8472585193452,338.6044689129482,2025-06
2025-06-10,LIGHTGBM,28,19.322898092537447,17.49747812645759,1474251.9153272023,1449074.5339822765,398.98374324156737,339.76904575099167,2025-06
2025-06-11,LIGHTGBM,28,19.268417274498315,17.66100351711731,1487169.26796925,1464194.3376728587,396.8125688492064,343.97193918262224,2025-06
2025-06-12,LIGHTGBM,28,19.38991599192472,17.88453484978573,1506330.083067932,1484611.2996065626,400.1118954613095,347.7865374123032,2025-06
2025-06-13,LIGHTGBM,28,19.54044125712181,18.14490183127934,1523166.2973009893,1503022.3984741557,401.5224786582341,353.7541685999329,2025-06
2025-06-14,LIGHTGBM,28,19.60053125669884,18.359137103768408,1530725.1281379284,1513080.930796307,402.9960470982143,358.58597639286575,2025-06
2025-06-15,LIGHTGBM,28,19.656460959463956,18.41896378996461,1539089.2170415772,1519456.9769097874,401.2660494667658,360.8763511588066,2025-06
2025-06-16,LIGHTGBM,28,19.55237637451208,18.342573849636064,1550632.6948447616,1531646.4234550083,399.3112578497023,360.373418482986,2025-06
2025-06-17,LIGHTGBM,28,19.465167459019376,18.251259834751124,1566973.5781122043,1546976.1934185484,395.77738397817456,357.53175835346053,2025-06
2025-06-18,LIGHTGBM,28,19.20605759995458,18.29031913249535,1584431.10396404,1566402.103119682,391.7119876860119,360.12145811163265,2025-06
2025-06-19,LIGHTGBM,28,19.3192508829565,18.268668534400483,1601371.2240737258,1580243.3916814283,392.2157763516865,360.4317723281784,2025-06
2025-06-20,LIGHTGBM,28,19.509719897957872,18.416698689881617,1616574.771581216,1594351.0158236555,394.9476444444445,364.2154351637505,2025-06
2025-06-21,LIGHTGBM,28,19.585287507479727,18.504959382545653,1622910.4939793074,1600357.2392456206,396.93920561755954,367.0600960691182,2025-06
2025-06-22,LIGHTGBM,28,19.667186452373297,18.49013472776925,1629734.094587523,1606132.7337264367,398.49084093501983,367.7523058544575,2025-06
2025-06-23,LIGHTGBM,28,19.90414171898436,18.561362961334964,1643995.7815457943,1618845.3868749095,402.4230195436508,370.3617210386755,2025-06
2025-06-24,LIGHTGBM,28,19.76763996728449,18.37080568512381,1654747.1935540452,1627140.694907547,399.0913149801588,368.336276558772,2025-06
2025-06-25,LIGHTGBM,28,20.055303898596517,18.993423335167385,1679030.3851724046,1655907.7023730504,404.1586364459325,375.4699699936986,2025-06
2025-06-26,LIGHTGBM,28,20.166740434275663,19.03809030559958,1697261.3318632315,1670151.1637582693,405.4831290302579,376.5246294742789,2025-06
2025-06-27,LIGHTGBM,28,20.355293494672075,19.127631822271976,1710776.442553632,1680906.6245677806,408.2383764880952,377.4113318777511,2025-06
2025-06-28,LIGHTGBM,28,20.370803961330257,19.09365321080586,1715798.845593057,1685060.5902856188,405.9953671999007,377.75264610326445,2025-06
2025-06-29,LIGHTGBM,28,20.360294827691558,19.116788567199983,1721374.5544528412,1690136.761872442,404.2788104042658,378.3668886508097,2025-06
2025-06-30,LIGHTGBM,28,19.435960016423845,17.55226178808244,1706409.0725603844,1667431.4858604209,391.4502071924604,360.6401700497964,2025-06
2025-07-01,LIGHTGBM,28,18.85859628919319,16.456771712911284,1694353.094982495,1646291.367169383,378.837573983135,347.68923296299295,2025-07
2025-07-02,LIGHTGBM,28,18.90059722793069,16.652515115960803,1703897.3499541683,1658245.6496642,379.0356516493055,350.16074029561634,2025-07
2025-07-03,LIGHTGBM,28,19.074157907233914,17.041452194795806,1711824.500421111,1671784.993369387,379.3566635664682,357.2561835980688,2025-07
2025-07-04,LIGHTGBM,28,20.093522361794285,17.735090288956968,1733689.8733108048,1692027.2998741418,393.9954889260912,366.23602468846656,2025-07
2025-07-05,LIGHTGBM,28,20.118531263920094,17.765282953390344,1739250.0091998093,1701229.9970434287,395.6996945808532,369.5646701653517,2025-07
2025-07-06,LIGHTGBM,28,20.73682649496859,17.97213872419217,1755173.8519341317,1713825.325053717,404.8223206845239,371.06668222157896,2025-07
2025-07-07,LIGHTGBM,28,21.55599933421189,19.13974396826534,1777998.000512269,1748001.4978932054,413.9224282242063,382.9361461477628,2025-07
2025-07-08,LIGHTGBM,28,21.807634670017645,19.47610549622947,1785191.0398558178,1757376.3096470097,420.2412361979167,384.4252504940528,2025-07
2025-07-09,LIGHTGBM,28,21.90075961755377,19.38014349076934,1790986.0826929195,1759332.3999743476,423.1181081473215,385.28960564754175,2025-07
2025-07-10,LIGHTGBM,28,21.97246169294769,19.60887141475261,1790305.040248491,1762107.7676080149,425.3095545262897,393.5230148738826,2025-07
2025-07-11,LIGHTGBM,28,21.948036046397807,19.72466610142482,1789838.164132644,1764748.5605388675,426.2517422371032,402.9115094773321,2025-07
2025-07-12,LIGHTGBM,28,22.027432160307804,19.85553174349369,1796231.3213052982,1772975.7390215714,428.1859286210317,408.2140304051028,2025-07
2025-07-13,LIGHTGBM,28,21.98875970229737,19.94461530335371,1801718.612543339,1780588.4728895773,427.3591922371032,405.6732903093712,2025-07
2025-07-14,LIGHTGBM,28,22.20741698677282,20.241667847494316,1805579.3720337744,1785999.3496250294,430.5233258680556,409.2546250817696,2025-07
2025-07-15,LIGHTGBM,28,22.286704205564813,20.60118626698806,1805552.943285008,1792736.4478821969,431.5184965029762,416.9305832922145,2025-07
2025-07-16,LIGHTGBM,28,22.300716001625183,20.6673610555282,1803017.684099472,1791245.6135244118,432.6604449280754,421.1133269382711,2025-07
2025-07-17,LIGHTGBM,28,22.28076732372349,20.75541914151903,1803482.2803668813,1793895.783053269,431.5976982142857,422.9727592634267,2025-07
2025-07-18,LIGHTGBM,28,22.31037612219964,20.7821728823281,1807717.528063361,1798546.2845907612,431.4671170014881,423.6538595525966,2025-07
2025-07-19,LIGHTGBM,28,22.362283849591304,20.72067843605094,1814787.147981168,1803915.242408536,433.41780592757937,423.0862279397513,2025-07
2025-07-20,LIGHTGBM,28,22.460970578583225,20.70727905039626,1821415.4834105263,1809512.759034756,433.6159706225199,419.4837544388866,2025-07
2025-07-21,LIGHTGBM,28,22.38598697595878,20.68886522206958,1825726.796813959,1813507.7017257877,430.8406134052579,418.68926024880926,2025-07
