policy,date,grid_plan_kwh,grid_used_kwh,grid_unused_kwh,charge_bus_kwh,discharge_bus_kwh,emergency_kwh,pv_curtailment_kwh,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,emergency_slot_count,emergency_event_count,subthreshold_emergency_kwh
MAIN,2025-02-26,74323.96258851852,73371.19411913579,952.7684693827132,22424.903020123467,18033.98899333333,7.389644451905042e-13,165.43205901234074,45591.134991127976,2.482750005583512e-12,45591.134991127976,8780.640850148147,8925.288020111113,1265.6858301111129,10800.0,0,0,7.389644451905042e-13
MAIN,2025-02-27,74910.3261536214,69474.34568,5435.980473621406,21110.77916666666,18604.670072366665,507.94162430000097,519.5940099999987,46318.63893922187,2469.6688279023047,48788.30776712418,8925.288020111113,7253.133634148147,1200.0,10800.0,5,1,1.6164847238542282e-13
MAIN,2025-02-28,34327.79945008231,33850.57880292182,477.2206471604943,16853.958801275716,13905.225923333332,0.0,7609.252374979432,17758.759423188734,0.0,17758.759423188734,7253.133634148147,6971.44552937038,1468.4137777777844,10800.0,0,0,0.0
MAIN,2025-03-01,36795.48282942386,36625.6147783539,169.86805106996255,18685.5119184362,13236.470903333333,4.263256414560601e-14,7517.8078299177,18906.440128605413,1.8216184116681691e-13,18906.440128605413,6971.44552937038,9081.216363370371,1546.8254703703697,10800.0,0,0,4.263256414560601e-14
MAIN,2025-03-02,80474.53422958848,74926.33928333333,5548.19494625514,19874.81291333334,16532.107744999998,808.637851666667,33.96489999999994,50074.14064058552,5569.140724235201,55643.28136482072,9081.216363370371,8599.539379814816,1200.0,10800.0,3,2,2.3447910280083306e-13
MAIN,2025-03-03,84048.5671755967,76759.87396662551,7288.693208971195,22687.573526625514,18241.33579333334,1.7053025658242404e-13,296.4896000000001,52129.71300730611,6.714344635838643e-13,52129.71300730611,8599.539379814816,8750.204672296295,1347.9908703703693,10800.0,0,0,1.7053025658242404e-13
MAIN,2025-03-04,83896.24515242799,74130.67389687244,9765.571255555553,19604.984305473256,15816.37669,1.1368683772161605e-13,1142.6083480658451,52328.21312605578,4.345110937720165e-13,52328.21312605578,8750.204672296295,8820.938669444446,1438.5156407407408,10800.0,0,0,1.1368683772161605e-13
MAIN,2025-03-05,79014.33604726236,70522.09666518893,8492.239382073418,19436.8201903395,15802.141975150558,3.0790647809197935e-13,756.9464333333337,48715.82487291423,1.308473454586512e-12,48715.82487291424,8820.938669444446,8756.141312804928,1279.675964048265,10800.0,0,0,3.0790647809197935e-13
MAIN,2025-03-06,73792.77890807836,68365.35250278075,5427.426405297619,17581.65981419527,16393.51774474786,9.663381206337365e-13,1236.5562999999995,45930.91588824743,3.808963811025023e-12,45930.91588824744,8756.141312804928,6364.6154291941575,1291.7886197693877,10800.0,0,0,9.663381206337365e-13
MAIN,2025-03-07,33542.732398058826,33081.69014808109,461.04224997774,15170.921573832446,12245.435929651594,0.0,9233.918970566903,17597.404731755174,0.0,17597.404731755174,6364.6154291941575,6412.404923808254,1817.4199804337557,10800.0,0,0,0.0
MAIN,2025-03-08,35583.627481902426,34682.29876988484,901.32871201759,18781.76976842961,12633.621363163224,5.684341886080803e-14,9471.010847951771,18520.43877291234,2.5647750589996574e-13,18520.43877291234,6412.404923808254,9278.64064521355,1805.7943212775567,10800.0,0,0,5.684341886080803e-14
MAIN,2025-03-09,75545.53232471152,68715.59308944248,6829.939235269035,20364.182950581635,16830.07197780582,0.0,1847.9570666666668,46393.1209122039,0.0,46393.1209122039,9278.64064521355,8906.325325397227,1384.62496121392,10800.0,0,0,0.0
MAIN,2025-03-10,72131.74996673162,71683.80031042121,447.9496563104083,21609.926327422552,17599.244661692414,368.95280530892217,0.0,43913.731786589145,2573.814769835038,46487.54655642418,8906.325325397227,8800.542729308183,1200.0,10800.0,1,1,7.958078640513122e-13
MAIN,2025-03-11,74658.25173017831,69312.35553714946,5345.896193028852,20420.15503382759,16487.37931334479,6.252776074688883e-13,1440.6610166666671,45286.90920576215,2.693980150070274e-12,45286.90920576215,8800.542729308183,8859.371911592136,1287.3410531753198,10800.0,0,0,6.252776074688883e-13
MAIN,2025-03-12,72906.06398479227,67838.15295386274,5067.91103092953,20828.47362601073,16865.480477902478,5.684341886080803e-14,1439.6251224211542,44299.08135600592,3.6610003917303403e-13,44299.08135600592,8859.371911592136,8865.575421776817,1345.8251060790783,10800.0,0,0,5.684341886080803e-14
MAIN,2025-03-13,67221.13872374137,66535.44652273878,685.6922010025962,17817.031358337925,17727.45010860094,1099.752743664874,0.0,41440.53828586018,5882.71917774726,47323.25746360744,8865.575421776817,5203.736856946568,1200.0,10800.0,8,2,6.821210263296962e-13
MAIN,2025-03-14,31382.51556493082,30921.73011997059,460.7854449602281,15661.962891577085,12212.467242277982,1.4210854715202006e-13,11442.808487338158,16437.28138971026,3.2223113066720544e-13,16437.28138971026,5203.736856946568,5730.095412390409,1532.8137133158089,10800.0,0,0,1.4210854715202006e-13
MAIN,2025-03-15,35344.07183654021,34696.539174547375,647.5326619928474,18796.55800662726,12584.330663104747,0.0,7560.186681024859,18017.61049318885,0.0,18017.61049318885,5730.095412390409,8664.407992683004,1310.4627862279397,10800.0,0,0,0.0
MAIN,2025-03-16,72547.08737184637,67956.62123252919,4590.466139317191,20693.820488144516,16412.781634977597,1.6400000000006258,326.1754460289318,43942.573471976335,7.461180000002511,43950.03465197634,8664.407992683004,9052.422393149078,1589.1992552202378,10800.0,1,1,6.394884621840903e-13
MAIN,2025-03-17,72945.91575124263,64026.77526615307,8919.140485089554,18772.293658009232,15238.457161870148,3.979039320256561e-13,2634.8073366806525,44114.973392387205,1.7921877315529858e-12,44114.973392387205,9052.422393149078,9015.86761661278,1434.4884037758457,10800.0,0,0,3.979039320256561e-13
MAIN,2025-03-18,68413.40094435692,65211.58057935738,3201.8203649995385,21453.14373989415,17454.900819397077,1017.846424473023,1105.2257166666668,41081.94419511706,5116.249846818481,46198.19404193554,9015.86761661278,8929.36273874298,1200.0,10800.0,8,1,2.273736754432321e-13
MAIN,2025-03-19,71721.95064191494,65566.72180040412,6155.228841510831,20498.873204637173,16483.716745790072,2.842170943040401e-13,2086.0948915570148,43359.45649161294,1.1217480277991857e-12,43359.45649161294,8929.36273874298,9063.1077942608,1561.131778726343,10800.0,0,0,2.842170943040401e-13
MAIN,2025-03-20,68903.8505413065,62821.87813230566,6081.972409000849,15653.384597799692,16502.938949514413,55.97419931295468,1518.4448666666658,42663.609101728056,390.4760144071713,43054.08511613523,9063.1077942608,4814.555099486722,1200.0,10800.0,1,1,1.7053025658242404e-13
MAIN,2025-03-21,31158.148733076418,30131.80674047041,1026.3419926060071,15197.88116043656,12036.982569571604,0.0,14937.443632938786,16277.013700000112,0.0,16277.013700000112,4814.555099486722,5118.223066577843,1495.1125092571335,10800.0,0,0,0.0
MAIN,2025-03-22,35383.20156418771,35142.492591978174,240.7089722095298,19132.51167659644,11503.65046126475,5.684341886080803e-14,11632.431643313152,17964.31864169825,2.627018602652242e-13,17964.31864169825,5118.223066577843,9555.649729664912,1887.0011295509887,10800.0,0,0,5.684341886080803e-14
MAIN,2025-03-23,70871.6627690761,64017.260375014375,6854.4023940617135,19586.41742898592,16611.673385323822,82.6835519810545,2355.4797666666664,42731.953902803856,570.7195303904273,43302.67343319429,9555.649729664912,8726.010543170216,1200.0,10800.0,2,2,3.410605131648481e-13
MAIN,2025-03-24,69170.65800140909,64349.70074620341,4820.957255205663,20785.761342203863,16926.899262667117,5.400124791776761e-13,2492.341583333334,41345.379300280605,2.187789505114779e-12,41345.379300280605,8726.010543170216,8625.52990374579,1273.9050420913848,10800.0,0,0,5.400124791776761e-13
MAIN,2025-03-25,69084.37711996275,66793.31034706002,2291.0667729027264,21407.377813060717,17292.98948654252,15.359867612904338,1744.1571714880677,41494.02360477368,71.96865970026276,41565.99226447394,8625.52990374579,8677.737172675403,1200.0,10800.0,2,1,2.842170943040401e-13
MAIN,2025-03-26,66800.15454552171,62132.70678438719,4667.447761134525,20574.073858422264,16575.163851343583,2.273736754432321e-13,2541.241910641838,40162.32188193312,8.699032605363754e-13,40162.32188193312,8677.737172675403,8777.55492154034,1277.6205481274585,10800.0,0,0,2.273736754432321e-13
MAIN,2025-03-27,62412.21702809277,59404.69436326662,3007.522664826135,15740.29660634592,16440.414050106687,3.1263880373444413e-13,1387.8224070273943,38460.65707819462,1.2965699625056004e-12,38460.65707819462,8777.55492154034,4676.695144910899,1451.6322730864854,10800.0,0,0,3.1263880373444413e-13
MAIN,2025-03-28,30246.254518897415,29437.236501761483,809.018017135932,14568.250900517116,11587.562764862658,0.0,15634.66759944036,15709.153206844609,0.0,15709.153206844609,4676.695144910899,4913.051216640016,1789.90253075247,10800.0,0,0,0.0
MAIN,2025-03-29,34620.46720684972,34324.21175279404,296.2554540556698,18618.45623893875,11411.166007886635,8.526512829121202e-14,19409.712338408604,17274.691548645977,4.077946869074367e-13,17274.691548645977,4913.051216640016,8990.588489588625,1477.747424267418,10800.0,0,0,8.526512829121202e-14
MAIN,2025-03-30,65123.86882558721,62175.13979581313,2948.7290297740874,20291.715309646894,16366.12839716711,1.5631940186722204e-13,2903.933183333333,39302.49090629028,5.178577566766764e-13,39302.49090629028,8990.588489588625,9068.545160307382,1537.427781120939,10800.0,0,0,1.5631940186722204e-13
MAIN,2025-03-31,64140.73024977029,61965.60564836974,2175.1246014005383,19459.726817451723,15874.052100810157,9.094947017729282e-13,1428.5414483948416,38482.9007516815,3.626084321695089e-12,38482.9007516815,9068.545160307382,8944.46362844709,1298.7536848010582,10800.0,0,0,9.094947017729282e-13
MAIN,2025-04-01,65341.898040287815,64021.53942462582,1320.3586156619813,20336.626855976872,16523.938948017705,2.842170943040401e-13,0.0,39259.27627887871,8.152341024469933e-13,39259.27627887871,8944.46362844709,8887.49563436215,1383.5183406431163,10800.0,0,0,2.842170943040401e-13
MAIN,2025-04-02,65861.82682432383,62812.85337122351,3048.9734531003373,21339.124965155926,17290.041143932423,1671.5658500000018,0.0,39202.87729533984,8353.047769075009,47555.925064414856,8887.49563436215,8881.55127641091,1200.0,10800.0,10,1,1.1368683772161605e-13
MAIN,2025-04-03,62511.26177547153,57592.8429192489,4918.418856222634,15243.860689275269,16351.45478558593,153.04583444043575,2989.9525833333337,38057.992945403166,1067.6477410564792,39125.64068645965,8881.55127641091,4432.742801663168,1200.0,10800.0,1,1,1.9895196601282805e-13
MAIN,2025-04-04,29346.96828918748,28710.8938989044,636.0743902830807,13848.652562403053,11173.497949204831,0.0,19604.937035706185,14971.206856493278,0.0,14971.206856493278,4432.742801663168,4481.532386487212,1616.0409887882818,10800.0,0,0,0.0
MAIN,2025-04-05,33836.72617361788,33580.04254349858,256.6836301192983,18532.64182940346,11127.899561488124,0.0,14131.185292249917,16687.414166420116,0.0,16687.414166420116,4481.532386487212,8796.577186852408,1354.9700432411296,10800.0,0,0,0.0
MAIN,2025-04-06,66492.06950419417,61543.34149367721,4948.728010516958,20087.084347372685,16295.020299879156,0.0,3341.2011795170097,39624.00996952992,0.0,39624.00996952992,8796.577186852408,8769.374988510988,1257.856053295212,10800.0,0,0,0.0
MAIN,2025-04-07,65517.01040131258,59844.2437670941,5672.7666342184775,19792.380306887357,15805.707523507506,1.1368683772161605e-13,2614.8517003809216,38857.16597761269,3.805098458542489e-13,38857.16597761269,8769.374988510988,9020.620016367937,1530.5012233086577,10800.0,0,0,1.1368683772161605e-13
MAIN,2025-04-08,64875.5715310034,60030.39672187536,4845.174809128026,21037.80761829167,17345.85787974964,104.15124999999968,2089.4046166666667,38504.34005275301,513.4415774999983,39017.78163025301,9020.620016367937,8681.471450886398,1200.0,10800.0,4,1,1.1368683772161605e-13
MAIN,2025-04-09,65917.14156782512,64130.92206311888,1786.2195047062355,20229.24697687489,16075.98174920638,3.410605131648481e-13,843.3458187837057,39597.64780134107,1.1188205917278536e-12,39597.64780134107,8681.471450886398,9025.591786511157,1501.963970640805,10800.0,0,0,3.410605131648481e-13
MAIN,2025-04-10,60783.27466069142,55335.00614264014,5448.26851805128,15015.909052959922,16541.513044005325,1.4210854715202006e-13,2399.972233685542,37054.6053752929,5.026379312766949e-13,37054.6053752929,9025.591786511157,4160.450996391391,1340.545909998685,10800.0,0,0,1.4210854715202006e-13
MAIN,2025-04-11,28590.883125693697,27856.4814311857,734.4016945079986,13158.277119328555,10846.393838948896,0.0,20227.947984139373,14659.079489475544,0.0,14659.079489475544,4160.450996391391,3951.351693843872,1626.1818712473369,10800.0,0,0,0.0
MAIN,2025-04-12,33986.68091161925,33515.6491702689,471.0317413503468,18492.522624629244,10338.798853775896,0.0,16336.764849415558,16728.816942743415,0.0,16728.816942743415,3951.351693843872,9107.06777403697,1593.9751854384344,10800.0,0,0,0.0
