policy,grid_plan_kwh,grid_used_kwh,grid_unused_kwh,charge_bus_kwh,discharge_bus_kwh,emergency_kwh,pv_curtailment_kwh,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_slot_count,emergency_event_count,subthreshold_emergency_kwh,soc_start_kwh,soc_end_kwh,n_days
BASELINE_ONLY_Q80,22076488.38266966,20533787.414925195,1542700.9677444682,6300513.022723248,5103827.496281498,98872.87900248313,1496785.2725192588,13536639.676549328,588632.1350773078,14125271.811626635,620.0,184.0,7.5991657411123e-11,9265.259272074078,8807.539410222222,334
HYBRID_Q50,20239142.992445856,19842899.47437484,396243.5180710164,6497593.060150397,5263852.210590364,480653.9530519155,1150623.0829000568,12273419.107715849,2912953.7406474096,15186372.848363258,2591.0,684.0,1.2331863308290278e-10,9265.259272074078,8374.334973693602,334
MAIN,21803694.93643176,20509432.9097598,1294262.026671962,6356246.586881682,5149020.934951004,106752.97766038758,1469770.74052284,13350598.343001992,626124.8105421516,13976723.153544145,681.0,208.0,7.828619696947925e-11,9265.259272074078,8752.815297807336,334
