date,slot_id,physical_interval_start,physical_interval_end,selected_branch,load_kw,pv_actual_kw,actual_net_kw,q50_kw,q80_kw,q50_error_kw,q80_exceed,price_yuan_per_kwh,grid_plan_kwh,grid_used_kwh,grid_unused_kwh,charge_bus_kwh,discharge_bus_kwh,emergency_kwh,pv_curtailment_kwh,soc_start_kwh,soc_end_kwh,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-03-20,1,2025-03-20 00:00:00,2025-03-20 00:10:00,LIGHTGBM,3299.0689,0.0,3299.0689,3532.715975888293,3669.7230775169055,-233.64707588829287,False,0.4248,874.8340748519299,874.8340748519299,-0.0,324.9892581852632,0.0,0.0,0.0,9063.1077942608,9355.598126627536,371.6295149970998,0.0,371.6295149970998
2025-03-20,2,2025-03-20 00:10:00,2025-03-20 00:20:00,LIGHTGBM,3421.881,0.0,3421.881,3519.1725439707125,3639.0830917894464,-97.29154397071261,False,0.4245,1439.8471819649078,1403.6468333333332,36.20034863157457,833.3333333333334,0.0,0.0,0.0,9355.598126627536,10105.598126627536,611.2151287441034,0.0,611.2151287441034
2025-03-20,3,2025-03-20 00:20:00,2025-03-20 00:30:00,LIGHTGBM,3683.11,0.0,3683.11,3458.988913397967,3593.25214820054,224.1210866020333,True,0.4269,598.8753580334234,598.8753580334234,-0.0,0.0,14.97630863324332,0.0,0.0,10105.598126627536,10088.95778370171,255.65989034446844,0.0,255.65989034446844
2025-03-20,4,2025-03-20 00:30:00,2025-03-20 00:40:00,LIGHTGBM,3476.737,0.0,3476.737,3506.723972040104,3634.725705022756,-29.986972040103865,False,0.4272,605.7876175037927,605.7876175037927,-0.0,26.331450837126,0.0,0.0,0.0,10088.95778370171,10112.656089455122,258.7924701976203,0.0,258.7924701976203
2025-03-20,5,2025-03-20 00:40:00,2025-03-20 00:50:00,LIGHTGBM,3302.6695,0.0,3302.6695,3469.724672040104,3608.80614820054,-167.05517204010403,False,0.4271,601.4676913667566,601.4676913667566,-0.0,51.02277470008994,0.0,0.0,0.0,10112.656089455122,10158.576586685203,256.88685098274175,0.0,256.88685098274175
2025-03-20,6,2025-03-20 00:50:00,2025-03-20 01:00:00,LIGHTGBM,3426.94,0.0,3426.94,3361.1562584931885,3534.699656631783,65.78374150681157,False,0.4285,589.1166094386305,589.1166094386305,-0.0,17.959942771963824,0.0,0.0,0.0,10158.576586685203,10174.740535179972,252.4364671444532,0.0,252.4364671444532
2025-03-20,7,2025-03-20 01:00:00,2025-03-20 01:10:00,LIGHTGBM,3609.5343,0.0,3609.5343,3329.3091682954564,3500.800263955075,280.2251317045434,True,0.4311,583.4667106591792,583.4667106591792,-0.0,0.0,18.12233934082076,0.0,0.0,10174.740535179972,10154.60460257906,251.53249896517207,0.0,251.53249896517207
2025-03-20,8,2025-03-20 01:10:00,2025-03-20 01:20:00,LIGHTGBM,3668.9025,0.0,3668.9025,3316.0753371646038,3459.8634206736037,352.8271628353964,True,0.4302,576.6439034456006,576.6439034456006,-0.0,0.0,34.8398465543994,0.0,0.0,10154.60460257906,10115.89366196306,248.07220726229735,0.0,248.07220726229735
2025-03-20,9,2025-03-20 01:20:00,2025-03-20 01:30:00,LIGHTGBM,3589.3,0.0,3589.3,3262.02339073526,3405.6584748404784,327.2766092647403,True,0.4279,567.6097458067464,567.6097458067464,-0.0,0.0,30.60692085992025,0.0,0.0,10115.89366196306,10081.885972118704,242.8802102307068,0.0,242.8802102307068
2025-03-20,10,2025-03-20 01:30:00,2025-03-20 01:40:00,LIGHTGBM,3503.6157,0.0,3503.6157,3340.058884546414,3490.802223347196,163.55681545358584,True,0.4312,581.800370557866,581.800370557866,-0.0,0.0,2.135579442133917,0.0,0.0,10081.885972118704,10079.513106071889,250.87231978455185,0.0,250.87231978455185
