date,slot_id,physical_interval_start,physical_interval_end,selected_branch,load_kw,pv_actual_kw,actual_net_kw,q50_kw,q80_kw,q50_error_kw,q80_exceed,price_yuan_per_kwh,grid_plan_kwh,grid_used_kwh,grid_unused_kwh,charge_bus_kwh,discharge_bus_kwh,emergency_kwh,pv_curtailment_kwh,soc_start_kwh,soc_end_kwh,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-02-01,1,2025-02-01 00:00:00,2025-02-01 00:10:00,BASELINE,2532.1822,0.0,2532.1822,2687.0099,2808.0189600000003,-154.82769999999982,False,0.4248,506.6039688065804,506.6039688065804,-0.0,84.5736021399137,0.0,0.0,0.0,9265.259272074078,9341.375514,215.20536594903533,0.0,215.20536594903533
2025-02-01,2,2025-02-01 00:10:00,2025-02-01 00:20:00,BASELINE,2492.4439,0.0,2492.4439,2663.2444499999992,2766.11132,-170.80054999999902,False,0.4245,1294.3518866666668,1248.7406500000002,45.61123666666663,833.3333333333334,0.0,0.0,0.0,9341.375514,10091.375514,549.4523758900001,0.0,549.4523758900001
2025-02-01,3,2025-02-01 00:20:00,2025-02-01 00:30:00,BASELINE,2464.3,0.0,2464.3,2668.425,2739.8160000000003,-204.125,False,0.4269,456.636,456.636,-0.0,45.91933333333333,0.0,0.0,0.0,10091.375514,10132.702914,194.9379084,0.0,194.9379084
2025-02-01,4,2025-02-01 00:30:00,2025-02-01 00:40:00,BASELINE,2581.7688,0.0,2581.7688,2824.4920999999995,2962.6711,-242.72329999999965,False,0.4272,493.7785166666667,493.7785166666667,-0.0,63.48371666666674,0.0,0.0,0.0,10132.702914,10189.838259,210.94218232000003,0.0,210.94218232000003
2025-02-01,5,2025-02-01 00:40:00,2025-02-01 00:50:00,BASELINE,2546.4635,0.0,2546.4635,2941.45055,3054.01708,-394.9870500000002,False,0.4271,509.0028466666667,509.0028466666667,-0.0,84.59226333333339,0.0,0.0,0.0,10189.838259,10265.971296,217.3951158113333,0.0,217.3951158113333
2025-02-01,6,2025-02-01 00:50:00,2025-02-01 01:00:00,BASELINE,2436.31,0.0,2436.31,2821.6000000000004,3023.2899999999995,-385.2900000000004,False,0.4285,503.8816666666666,503.8816666666666,-0.0,97.82999999999991,0.0,0.0,0.0,10265.971296,10354.018296,215.91329416666665,0.0,215.91329416666665
2025-02-01,7,2025-02-01 01:00:00,2025-02-01 01:10:00,BASELINE,2620.5011,0.0,2620.5011,2940.99265,3077.78654,-320.4915500000002,False,0.4311,512.9644233333333,512.9644233333333,-0.0,76.21424000000002,0.0,0.0,0.0,10354.018296,10422.611112,221.138962899,0.0,221.138962899
2025-02-01,8,2025-02-01 01:10:00,2025-02-01 01:20:00,BASELINE,2710.7861,0.0,2710.7861,2866.3927499999995,3028.3225,-155.60664999999972,False,0.4302,504.7204166666666,504.7204166666666,-0.0,52.922733333333326,0.0,0.0,0.0,10422.611112,10470.241572,217.13072325,0.0,217.13072325
2025-02-01,9,2025-02-01 01:20:00,2025-02-01 01:30:00,BASELINE,2676.48,0.0,2676.48,2739.42,2972.626,-62.940000000000055,False,0.4279,495.4376666666666,495.4376666666666,-0.0,49.35766666666666,0.0,0.0,0.0,10470.241572,10514.663472,211.99777756666663,0.0,211.99777756666663
2025-02-01,10,2025-02-01 01:30:00,2025-02-01 01:40:00,BASELINE,2830.598,0.0,2830.598,2958.4407,3121.42628,-127.84270000000015,False,0.4312,520.2377133333333,520.2377133333333,-0.0,48.47138000000001,0.0,0.0,0.0,10514.663472,10558.287714,224.3265019893333,0.0,224.3265019893333
2025-02-01,11,2025-02-01 01:40:00,2025-02-01 01:50:00,BASELINE,2688.1558,0.0,2688.1558,3060.78935,3131.77656,-372.63355,False,0.4333,521.96276,521.96276,-0.0,73.93679333333336,0.0,0.0,0.0,10558.287714,10624.830828,226.166463908,0.0,226.166463908
2025-02-01,12,2025-02-01 01:50:00,2025-02-01 02:00:00,BASELINE,2384.42,0.0,2384.42,2811.375,3167.868,-426.9549999999999,False,0.4311,527.978,527.978,-0.0,130.5746666666666,0.0,0.0,0.0,10624.830828,10742.348028,227.6113158,0.0,227.6113158
2025-02-01,13,2025-02-01 02:00:00,2025-02-01 02:10:00,BASELINE,2604.5438,0.0,2604.5438,3002.18005,3126.61846,-397.63625,False,0.4293,521.1030766666667,498.1483799999996,22.95469666666708,64.05774666666629,0.0,0.0,0.0,10742.348028,10800.0,223.709550813,0.0,223.709550813
2025-02-01,14,2025-02-01 02:10:00,2025-02-01 02:20:00,BASELINE,2943.3655,0.0,2943.3655,3094.5107500000004,3265.97544,-151.1452500000005,False,0.4324,544.32924,490.5609166666666,53.7683233333334,0.0,0.0,0.0,0.0,10800.0,10800.0,235.367963376,0.0,235.367963376
2025-02-01,15,2025-02-01 02:20:00,2025-02-01 02:30:00,BASELINE,3019.32,0.0,3019.32,3048.34,3177.4580000000005,-29.019999999999982,False,0.4367,529.5763333333334,503.22,26.3563333333334,0.0,0.0,0.0,0.0,10800.0,10800.0,231.2659847666667,0.0,231.2659847666667
2025-02-01,16,2025-02-01 02:30:00,2025-02-01 02:40:00,BASELINE,2844.4369,0.0,2844.4369,2956.6042,3063.00516,-112.16730000000007,False,0.4348,510.5008600000001,474.0728166666667,36.428043333333335,0.0,0.0,0.0,0.0,10800.0,10800.0,221.96577392800003,0.0,221.96577392800003
2025-02-01,17,2025-02-01 02:40:00,2025-02-01 02:50:00,BASELINE,2768.3064,0.0,2768.3064,2992.28425,3172.82772,-223.97785000000022,False,0.4335,528.80462,461.3844,67.42022000000003,0.0,0.0,0.0,0.0,10800.0,10800.0,229.23680277,0.0,229.23680277
2025-02-01,18,2025-02-01 02:50:00,2025-02-01 03:00:00,BASELINE,2861.65,0.0,2861.65,3085.635,3240.55,-223.98500000000013,False,0.4357,540.0916666666667,476.94166666666666,63.150000000000034,0.0,0.0,0.0,0.0,10800.0,10800.0,235.31793916666663,0.0,235.31793916666663
2025-02-01,19,2025-02-01 03:00:00,2025-02-01 03:10:00,BASELINE,2900.3973,0.0,2900.3973,3108.2751,3264.93632,-207.87779999999975,False,0.4374,544.1560533333333,483.39955,60.75650333333323,0.0,0.0,0.0,0.0,10800.0,10800.0,238.013857728,0.0,238.013857728
2025-02-01,20,2025-02-01 03:10:00,2025-02-01 03:20:00,BASELINE,2919.6115,0.0,2919.6115,3063.0741,3203.22424,-143.46259999999984,False,0.4371,533.8707066666667,486.6019166666667,47.26879000000002,0.0,0.0,0.0,0.0,10800.0,10800.0,233.354885884,0.0,233.354885884
2025-02-01,21,2025-02-01 03:20:00,2025-02-01 03:30:00,BASELINE,2993.09,0.0,2993.09,3057.595,3214.752,-64.50499999999965,False,0.4356,535.792,498.84833333333336,36.94366666666667,0.0,0.0,0.0,0.0,10800.0,10800.0,233.3909952,0.0,233.3909952
