month,BASELINE,LIGHTGBM,total_days
2025-02,28,0,28
2025-03,4,27,31
2025-04,0,30,30
2025-05,0,31,31
2025-06,0,30,30
2025-07,0,31,31
2025-08,0,31,31
2025-09,0,30,30
2025-10,0,31,31
2025-11,0,30,30
2025-12,1,30,31
